Transaction ID; Purchase Amount (USD) ;Payment Method;Review Rating
957; $77.00 ;Cash;4.9
3738; $40.00 ;Cash;3.7
3719; $46.00 ;Credit Card;4.3
3772; $78.00 ;Venmo;3.9
2826; $59.00 ;Venmo;3.2
2665; $75.00 ;Cash;3.1
3821; $54.00 ;Venmo;3.9
3650; $42.00 ;Venmo;2.6
974; $44.00 ;PayPal;3.3
3081; $52.00 ;Debit Card;4.6
241; $69.00 ;Credit Card;4.6
2208; $26.00 ;PayPal;4.4
3462; $33.00 ;Cash;4.2
495; $32.00 ;Credit Card;3
2371; $85.00 ;Debit Card;4
1501; $30.00 ;Debit Card;3.5
595; $29.00 ;Credit Card;3
90; $95.00 ;Bank Transfer;3.7
1867; $69.00 ;Credit Card;4
636; $69.00 ;Debit Card;4.2
2861; $61.00 ;Bank Transfer;2.5
1588; $94.00 ;Debit Card;3
2154; $30.00 ;Debit Card;3.2
2317; $45.00 ;PayPal;3.5
1579; $39.00 ;Credit Card;4.8
2213; $51.00 ;Cash;2.6
709; $37.00 ;Cash;3.4
1235; $62.00 ;Credit Card;3.7
2139; $85.00 ;Debit Card;4.5
3381; $33.00 ;Bank Transfer;3.7
756; $26.00 ;Credit Card;3.3
2140; $99.00 ;Credit Card;4.7
2664; $39.00 ;PayPal;2.7
300; $20.00 ;Cash;4.6
2555; $42.00 ;Venmo;2.7
1928; $74.00 ;PayPal;4.8
1301; $26.00 ;Bank Transfer;4.4
261; $53.00 ;Cash;4
2763; $80.00 ;Credit Card;3.2
3707; $98.00 ;Cash;4.4
1527; $95.00 ;Debit Card;3.8
2537; $44.00 ;Venmo;3.6
3583; $60.00 ;Cash;3.3
2081; $84.00 ;Venmo;3.4
47; $59.00 ;Debit Card;3.5
2788; $49.00 ;Debit Card;3.6
3737; $32.00 ;Cash;3.2
1312; $29.00 ;Bank Transfer;3.7
205; $22.00 ;Bank Transfer;4.5
3512; $85.00 ;Debit Card;4.6
3505; $52.00 ;Debit Card;4.1
465; $89.00 ;Bank Transfer;3.4
1030; $77.00 ;PayPal;3.7
2090; $24.00 ;PayPal;3.3
315; $24.00 ;Venmo;4.5
1239; $22.00 ;Bank Transfer;3.3
2078; $82.00 ;Bank Transfer;4.3
3135; $67.00 ;PayPal;2.5
1565; $74.00 ;Venmo;2.6
1161; $72.00 ;PayPal;4.9
2229; $36.00 ;Credit Card;4.7
1708; $95.00 ;Credit Card;3
94; $78.00 ;Venmo;3.5
78; $82.00 ;Credit Card;4.8
1900; $70.00 ;Debit Card;4.3
1139; $41.00 ;Cash;3.2
3545; $42.00 ;PayPal;3.1
2412; $50.00 ;Debit Card;2.8
1413; $31.00 ;Debit Card;2.9
1957; $51.00 ;Bank Transfer;3.7
351; $98.00 ;Credit Card;3.3
1074; $86.00 ;Cash;2.8
2402; $64.00 ;Cash;4.5
3693; $46.00 ;PayPal;2.6
1876; $85.00 ;Cash;3.7
2127; $81.00 ;Debit Card;4.4
3031; $59.00 ;Cash;4.3
3508; $79.00 ;Venmo;3.5
2728; $33.00 ;Credit Card;3.8
3489; $47.00 ;Cash;3.5
1770; $20.00 ;Credit Card;4.6
619; $36.00 ;Bank Transfer;2.6
2778; $39.00 ;Cash;4.4
2345; $71.00 ;PayPal;4
1244; $59.00 ;Cash;4.4
3368; $50.00 ;Credit Card;4.7
3137; $41.00 ;Credit Card;3.9
593; $59.00 ;Bank Transfer;2.7
2416; $87.00 ;Cash;3.7
1919; $68.00 ;Venmo;2.6
1661; $90.00 ;Cash;3.9
2800; $71.00 ;Venmo;4.9
589; $64.00 ;Credit Card;4.1
211; $76.00 ;PayPal;3
3085; $42.00 ;Credit Card;4.1
520; $80.00 ;Debit Card;3.8
324; $56.00 ;Bank Transfer;4
3107; $25.00 ;Debit Card;3.6
3345; $74.00 ;Debit Card;3
3805; $30.00 ;Bank Transfer;3
3304; $96.00 ;Bank Transfer;2.6
3421; $64.00 ;Cash;3.4
3694; $88.00 ;Cash;3.1
2076; $88.00 ;Debit Card;3
2212; $88.00 ;PayPal;3.7
3251; $36.00 ;Bank Transfer;3.5
3106; $40.00 ;Credit Card;2.8
770; $39.00 ;Venmo;4.5
680; $40.00 ;Cash;3.3
881; $34.00 ;Credit Card;3.4
2767; $83.00 ;Bank Transfer;3.2
222; $85.00 ;Credit Card;3.7
3351; $27.00 ;Bank Transfer;4.6
552; $78.00 ;Bank Transfer;5
2598; $32.00 ;Debit Card;4.4
977; $51.00 ;PayPal;4.9
317; $32.00 ;Debit Card;4.1
1698; $62.00 ;Cash;4.9
482; $29.00 ;Debit Card;4.7
599; $69.00 ;PayPal;3
1985; $25.00 ;Debit Card;3.4
3169; $76.00 ;PayPal;3.2
1486; $77.00 ;Credit Card;2.9
335; $33.00 ;Credit Card;4.5
1058; $93.00 ;Credit Card;2.7
1117; $39.00 ;Cash;3.4
2178; $93.00 ;Cash;4.6
454; $82.00 ;Credit Card;2.7
1931; $42.00 ;Venmo;4.2
2013; $71.00 ;Debit Card;3.2
980; $86.00 ;Cash;4.8
3697; $82.00 ;PayPal;3.3
2673; $65.00 ;Credit Card;4.2
3142; $29.00 ;PayPal;4.8
626; $65.00 ;Cash;4.9
3660; $88.00 ;Bank Transfer;3.9
1196; $46.00 ;Venmo;3
3539; $67.00 ;PayPal;4.6
2681; $35.00 ;Credit Card;3.5
2936; $66.00 ;Venmo;4.8
3690; $91.00 ;Bank Transfer;4.8
3769; $78.00 ;PayPal;3
1306; $45.00 ;Credit Card;4.5
3425; $93.00 ;Credit Card;4.8
1260; $74.00 ;Debit Card;3.8
670; $55.00 ;Debit Card;4.6
2969; $76.00 ;Debit Card;3.1
1707; $66.00 ;Credit Card;3.4
2255; $51.00 ;Debit Card;3.3
274; $26.00 ;Debit Card;4.8
1104; $29.00 ;Cash;2.8
1884; $74.00 ;Venmo;3.1
650; $99.00 ;Debit Card;4.6
1319; $88.00 ;Bank Transfer;2.6
3560; $31.00 ;Venmo;2.6
3671; $55.00 ;Bank Transfer;3.8
127; $81.00 ;PayPal;4.5
3745; $73.00 ;Cash;3
3349; $91.00 ;Credit Card;3.5
3291; $54.00 ;Credit Card;3.8
2436; $40.00 ;Cash;3.5
3703; $59.00 ;Bank Transfer;3.1
673; $26.00 ;Bank Transfer;3
1128; $23.00 ;Credit Card;4.3
2677; $87.00 ;Debit Card;3.3
2549; $71.00 ;Cash;4.7
3165; $91.00 ;Cash;4.5
1960; $64.00 ;Venmo;2.9
2873; $94.00 ;Venmo;4.1
2475; $40.00 ;Debit Card;3.5
1360; $76.00 ;Credit Card;3.4
2171; $86.00 ;Debit Card;3.3
1589; $92.00 ;Bank Transfer;3.2
3486; $52.00 ;Bank Transfer;4
1250; $28.00 ;PayPal;3.6
3757; $46.00 ;Cash;4.6
3797; $50.00 ;Credit Card;2.6
2185; $23.00 ;Cash;4.3
3371; $50.00 ;PayPal;3.4
587; $89.00 ;Debit Card;3.5
2448; $81.00 ;Bank Transfer;4.2
2628; $69.00 ;Bank Transfer;3.5
907; $67.00 ;PayPal;3.6
248; $20.00 ;Debit Card;4.3
43; $29.00 ;Bank Transfer;4.9
1541; $74.00 ;Bank Transfer;4.1
928; $82.00 ;Venmo;3.6
1219; $23.00 ;Credit Card;3.4
682; $45.00 ;PayPal;2.9
1122; $21.00 ;Venmo;2.7
1302; $31.00 ;Cash;4.3
3524; $45.00 ;Debit Card;3.3
566; $56.00 ;Cash;2.8
388; $97.00 ;Debit Card;3.2
1263; $100.00 ;Credit Card;3.6
1781; $96.00 ;Bank Transfer;4
3047; $99.00 ;Credit Card;4.9
3072; $91.00 ;Debit Card;4
2316; $30.00 ;Debit Card;3.8
3589; $65.00 ;Venmo;3.7
106; $93.00 ;Cash;3.9
1795; $81.00 ;Debit Card;3.3
501; $81.00 ;Venmo;2.7
3450; $52.00 ;PayPal;4.7
2283; $88.00 ;Cash;2.8
2744; $24.00 ;Credit Card;4.6
828; $51.00 ;Credit Card;4.5
3477; $38.00 ;Bank Transfer;5
2802; $46.00 ;Debit Card;4.1
2174; $63.00 ;Cash;4.6
41; $72.00 ;Credit Card;4.9
374; $39.00 ;Cash;3.9
3265; $42.00 ;Venmo;3.9
2686; $76.00 ;Debit Card;2.6
110; $66.00 ;Cash;2.7
1156; $90.00 ;Venmo;3.5
2169; $56.00 ;Credit Card;3.7
1913; $43.00 ;Debit Card;3.2
1811; $84.00 ;Bank Transfer;3.3
799; $88.00 ;Credit Card;4.8
1346; $88.00 ;PayPal;3.2
1534; $42.00 ;PayPal;2.5
1959; $73.00 ;Venmo;3.9
736; $73.00 ;Credit Card;4.7
427; $44.00 ;Debit Card;2.6
2611; $63.00 ;Debit Card;2.8
151; $68.00 ;Credit Card;4.4
1176; $29.00 ;Venmo;4.6
815; $85.00 ;Venmo;3.2
2927; $42.00 ;PayPal;4.2
2179; $69.00 ;Bank Transfer;3.7
334; $62.00 ;PayPal;3.9
3082; $48.00 ;Debit Card;4.7
163; $68.00 ;PayPal;4.5
2077; $36.00 ;Credit Card;3.3
2469; $63.00 ;Venmo;3.3
3500; $39.00 ;Bank Transfer;4.6
1562; $78.00 ;PayPal;3.6
2312; $99.00 ;Credit Card;4.8
2517; $31.00 ;Bank Transfer;4.8
3659; $45.00 ;Debit Card;2.9
986; $30.00 ;Cash;2.8
6; $24.00 ;Credit Card;3.2
3384; $22.00 ;Bank Transfer;3.9
2915; $63.00 ;Credit Card;4.3
152; $40.00 ;Cash;2.7
1841; $20.00 ;Bank Transfer;5
1543; $20.00 ;Cash;3.7
423; $80.00 ;Bank Transfer;3.9
3813; $87.00 ;Credit Card;3.9
1298; $46.00 ;Debit Card;3.1
212; $49.00 ;Credit Card;3.3
509; $65.00 ;PayPal;3.6
3629; $62.00 ;Debit Card;4.3
1926; $67.00 ;Credit Card;4.5
3634; $41.00 ;Cash;2.8
2558; $49.00 ;Debit Card;2.7
1080; $100.00 ;PayPal;2.9
1982; $54.00 ;Cash;4.4
3442; $84.00 ;Bank Transfer;3.9
1808; $41.00 ;Credit Card;3.5
2797; $88.00 ;PayPal;2.5
1164; $40.00 ;Cash;4.9
3692; $39.00 ;Venmo;4.8
1038; $37.00 ;Credit Card;3.2
3319; $52.00 ;Cash;4.9
2234; $23.00 ;Bank Transfer;4.3
3086; $88.00 ;Venmo;3.2
790; $84.00 ;Cash;3.7
2421; $37.00 ;Venmo;3.2
2440; $51.00 ;Bank Transfer;3.4
2450; $76.00 ;Bank Transfer;4.1
368; $60.00 ;PayPal;4.5
1072; $72.00 ;Bank Transfer;4.5
2726; $45.00 ;Credit Card;3.2
1800; $84.00 ;Debit Card;4.4
3257; $49.00 ;Credit Card;3
2640; $22.00 ;PayPal;3.2
3869; $48.00 ;Cash;4
3040; $37.00 ;Venmo;3.1
3540; $27.00 ;Bank Transfer;2.8
2597; $79.00 ;Venmo;4.6
3861; $98.00 ;Debit Card;4.3
2866; $64.00 ;Cash;3.3
2150; $32.00 ;Bank Transfer;3.5
3097; $74.00 ;Cash;3.4
778; $50.00 ;Debit Card;2.8
1504; $64.00 ;PayPal;4.6
1719; $29.00 ;Cash;3.6
179; $62.00 ;Cash;3.3
887; $78.00 ;Venmo;3.1
900; $94.00 ;Bank Transfer;3.5
694; $59.00 ;Venmo;3.2
2308; $47.00 ;PayPal;3
506; $57.00 ;Bank Transfer;4.8
2779; $90.00 ;Credit Card;5
2770; $60.00 ;PayPal;2.9
2370; $77.00 ;Venmo;3.2
1377; $41.00 ;Bank Transfer;2.9
3708; $48.00 ;PayPal;3.3
850; $65.00 ;Credit Card;2.6
2956; $62.00 ;PayPal;3.5
1871; $99.00 ;PayPal;4.4
1621; $58.00 ;Cash;3.4
226; $43.00 ;Bank Transfer;4.2
2488; $93.00 ;PayPal;3.6
2404; $50.00 ;Venmo;3
3423; $88.00 ;Bank Transfer;4
3050; $33.00 ;PayPal;4.4
2135; $99.00 ;Credit Card;4.1
1786; $76.00 ;Venmo;3.6
732; $97.00 ;Credit Card;4.6
864; $68.00 ;Cash;3.2
215; $79.00 ;PayPal;4.8
3538; $86.00 ;Venmo;4.8
802; $68.00 ;Venmo;5
103; $52.00 ;PayPal;3.7
2794; $90.00 ;Debit Card;4.6
2994; $41.00 ;Debit Card;3.7
33; $80.00 ;PayPal;4.1
74; $100.00 ;Credit Card;2.7
995; $77.00 ;Debit Card;4.9
2351; $78.00 ;PayPal;4
3874; $94.00 ;PayPal;4.7
2799; $23.00 ;Credit Card;2.8
1892; $20.00 ;Venmo;4.9
2204; $86.00 ;PayPal;4.2
2132; $60.00 ;Debit Card;3
3823; $70.00 ;Debit Card;3.4
1225; $39.00 ;Credit Card;4.6
3639; $37.00 ;Credit Card;4.2
290; $29.00 ;Venmo;3.2
2489; $35.00 ;Cash;4.4
3220; $83.00 ;Cash;2.5
2502; $77.00 ;Credit Card;3.6
2515; $37.00 ;PayPal;4.5
2118; $69.00 ;Bank Transfer;3.4
1738; $66.00 ;Credit Card;3.2
1115; $26.00 ;Cash;4.2
1773; $63.00 ;Debit Card;5
3364; $38.00 ;Cash;4.7
851; $58.00 ;Venmo;4.2
1896; $46.00 ;Debit Card;3.4
1081; $92.00 ;Bank Transfer;4.4
3490; $32.00 ;Debit Card;4.2
1348; $90.00 ;Credit Card;4.5
457; $23.00 ;PayPal;2.8
798; $25.00 ;Debit Card;3.3
866; $54.00 ;Cash;4.6
3370; $72.00 ;Debit Card;2.5
2182; $33.00 ;Credit Card;4.7
420; $43.00 ;PayPal;4.6
172; $51.00 ;Cash;2.6
3594; $85.00 ;Cash;4
3834; $100.00 ;Debit Card;2.6
1821; $72.00 ;Cash;4.6
534; $57.00 ;Debit Card;2.6
2321; $94.00 ;Credit Card;4
363; $34.00 ;Debit Card;4.6
3282; $89.00 ;PayPal;3.7
2303; $27.00 ;Debit Card;4.4
2719; $63.00 ;Credit Card;4
1044; $70.00 ;Bank Transfer;4.7
2601; $87.00 ;Venmo;3.4
843; $79.00 ;Venmo;4
2387; $79.00 ;Credit Card;3.9
1323; $44.00 ;Venmo;4.1
498; $85.00 ;Venmo;3.7
2878; $90.00 ;Bank Transfer;4.7
1368; $94.00 ;Cash;4.3
1366; $68.00 ;Venmo;4.1
664; $51.00 ;Venmo;3.9
160; $33.00 ;Bank Transfer;2.9
3895; $60.00 ;Bank Transfer;3.9
1017; $59.00 ;PayPal;4.3
1435; $30.00 ;Cash;2.8
357; $20.00 ;Cash;3.4
842; $20.00 ;Venmo;2.7
34; $24.00 ;Credit Card;4
2451; $88.00 ;Debit Card;4.4
740; $78.00 ;Venmo;3.9
836; $25.00 ;Credit Card;2.8
1166; $57.00 ;Venmo;3.2
3218; $93.00 ;Venmo;4.3
1978; $42.00 ;Credit Card;4.2
2293; $54.00 ;Debit Card;4.9
3633; $70.00 ;Bank Transfer;3.7
3075; $31.00 ;Bank Transfer;4.1
24; $93.00 ;Credit Card;4.2
3483; $40.00 ;Venmo;3.9
3013; $32.00 ;PayPal;2.9
3441; $27.00 ;PayPal;3.1
412; $68.00 ;Credit Card;3.6
550; $59.00 ;Bank Transfer;4.4
3415; $36.00 ;Debit Card;3.1
2902; $23.00 ;Debit Card;3.9
962; $80.00 ;PayPal;4.3
633; $37.00 ;Debit Card;4.9
1042; $52.00 ;Debit Card;3.6
1519; $79.00 ;Debit Card;5
82; $68.00 ;Cash;4.1
3314; $98.00 ;Debit Card;2.8
2355; $83.00 ;Cash;4.7
2495; $83.00 ;Cash;4.4
2750; $55.00 ;Cash;4.9
3011; $26.00 ;Cash;3.1
1472; $76.00 ;Debit Card;2.6
3051; $85.00 ;Credit Card;2.9
2428; $89.00 ;PayPal;3.3
3840; $41.00 ;Credit Card;4.8
875; $30.00 ;PayPal;4.7
3796; $53.00 ;Cash;3.3
917; $66.00 ;Cash;4.2
2850; $33.00 ;Venmo;4.7
270; $86.00 ;Credit Card;2.6
2032; $60.00 ;Debit Card;2.9
2887; $62.00 ;PayPal;2.7
1706; $74.00 ;Credit Card;3.3
3715; $95.00 ;PayPal;3.4
632; $25.00 ;Venmo;4.2
1369; $59.00 ;PayPal;3.8
897; $29.00 ;Debit Card;4
3138; $36.00 ;Venmo;2.7
3476; $82.00 ;Bank Transfer;4.7
2955; $71.00 ;Credit Card;3.5
227; $35.00 ;PayPal;3
219; $38.00 ;Cash;3.3
2768; $59.00 ;Cash;4.7
3863; $91.00 ;Cash;4.7
2532; $68.00 ;Bank Transfer;4.8
2639; $21.00 ;Credit Card;2.9
1733; $95.00 ;Venmo;4
3617; $52.00 ;Credit Card;3.1
2787; $21.00 ;Venmo;3.5
1645; $67.00 ;Bank Transfer;3.7
2582; $42.00 ;Bank Transfer;2.8
3026; $63.00 ;Bank Transfer;4.6
1293; $41.00 ;PayPal;3.8
2733; $46.00 ;Bank Transfer;2.6
581; $79.00 ;Venmo;4.1
2749; $90.00 ;Cash;3.3
2280; $71.00 ;Bank Transfer;3.4
3487; $87.00 ;Debit Card;3
1819; $66.00 ;Venmo;3.2
1559; $90.00 ;PayPal;4.5
1123; $47.00 ;Venmo;4.8
490; $38.00 ;Debit Card;3.7
1162; $50.00 ;Cash;3.4
1827; $79.00 ;Debit Card;4.6
414; $91.00 ;Bank Transfer;4.1
3271; $60.00 ;PayPal;3.5
3465; $81.00 ;Credit Card;3.8
926; $90.00 ;Bank Transfer;2.6
2105; $70.00 ;Venmo;4.4
2816; $63.00 ;Venmo;2.6
1061; $29.00 ;PayPal;3.6
1073; $90.00 ;Debit Card;4.2
445; $22.00 ;Bank Transfer;4.6
3259; $22.00 ;Venmo;3.3
3827; $62.00 ;Bank Transfer;3.4
1004; $57.00 ;Debit Card;4.4
433; $32.00 ;PayPal;4.3
876; $53.00 ;Cash;3.5
