Customer_ID;Age;Gender;Item_Purchased;Category;Size;Color;Season;Purchase_Amount__USD_;Payment_Method;Shipping_Type;Location;Frequency_of_Purchases;Review_Rating
18;53;Male;Dress;Clothing;XL;Lavender;Winter; $52.00 ;Bank Transfer;Store Pickup;Mississippi;Weekly;3.5
19;52;Male;Sweater;Clothing;S;Black;Summer; $44.00 ;PayPal;Express;Montana;Weekly;2.7
20;66;Male;Pants;Clothing;M;Green;Summer; $96.00 ;Cash;Express;Rhode Island;Weekly;5.0
21;21;Male;Pants;Clothing;M;Black;Winter; $36.00 ;Bank Transfer;2-Day Shipping;Louisiana;Annually;4.5
22;31;Male;Pants;Clothing;M;Charcoal;Winter; $81.00 ;PayPal;2-Day Shipping;North Carolina;Monthly;4.9
23;56;Male;Pants;Clothing;M;Peach;Summer; $67.00 ;Debit Card;Standard;California;Quarterly;4.7
24;31;Male;Pants;Clothing;XL;White;Winter; $93.00 ;Credit Card;Store Pickup;Oklahoma;Every 3 Months;4.2
25;18;Male;Jacket;Outerwear;M;Green;Fall; $97.00 ;Venmo;Standard;Florida;Quarterly;4.7
26;18;Male;Hoodie;Clothing;M;Silver;Summer; $41.00 ;Bank Transfer;Store Pickup;Texas;Every 3 Months;3.8
27;38;Male;Jewelry;Accessories;M;Red;Spring; $66.00 ;Debit Card;Free Shipping;Nevada;Every 3 Months;4.6
28;56;Male;Shorts;Clothing;L;Cyan;Summer; $87.00 ;Debit Card;Store Pickup;Kentucky;Every 3 Months;3.1
29;54;Male;Handbag;Accessories;M;Gray;Fall; $72.00 ;Venmo;2-Day Shipping;North Carolina;Quarterly;3.7
30;31;Male;Dress;Clothing;S;Black;Fall; $22.00 ;Bank Transfer;Standard;Wyoming;Weekly;4.4
31;57;Male;Jewelry;Accessories;L;Black;Winter; $72.00 ;Credit Card;Store Pickup;North Carolina;Annually;4.8
32;33;Male;Dress;Clothing;L;Brown;Winter; $62.00 ;Debit Card;Standard;West Virginia;Fortnightly;4.7
33;36;Male;Jacket;Outerwear;M;Silver;Summer; $80.00 ;PayPal;Free Shipping;Kansas;Weekly;4.1
34;54;Male;Pants;Clothing;L;Green;Summer; $24.00 ;Credit Card;2-Day Shipping;Colorado;Annually;4.0
35;36;Male;T-shirt;Clothing;L;Violet;Spring; $21.00 ;Bank Transfer;Standard;North Dakota;Bi-Weekly;3.3
36;54;Male;Blouse;Clothing;M;Cyan;Summer; $27.00 ;Venmo;Next Day Air;Massachusetts;Bi-Weekly;2.9
37;35;Male;T-shirt;Clothing;M;Maroon;Winter; $89.00 ;Venmo;2-Day Shipping;Illinois;Fortnightly;3.9
38;35;Male;Jeans;Clothing;S;Cyan;Summer; $34.00 ;PayPal;Standard;Indiana;Fortnightly;4.0
39;29;Male;Dress;Clothing;M;Red;Winter; $28.00 ;Bank Transfer;Express;Florida;Monthly;4.7
40;70;Male;Pants;Clothing;S;Turquoise;Summer; $40.00 ;Credit Card;Express;Arizona;Weekly;2.5
41;69;Male;Handbag;Accessories;L;Beige;Winter; $72.00 ;Credit Card;2-Day Shipping;Louisiana;Quarterly;4.9
42;67;Male;Scarf;Accessories;M;Orange;Spring; $31.00 ;Credit Card;2-Day Shipping;Alaska;Quarterly;2.8
43;20;Male;Coat;Outerwear;M;Beige;Spring; $29.00 ;Bank Transfer;Standard;Tennessee;Annually;4.9
44;25;Male;Scarf;Accessories;L;Lavender;Fall; $55.00 ;Venmo;Free Shipping;Ohio;Fortnightly;4.2
45;39;Male;Hat;Accessories;S;Silver;Summer; $83.00 ;Credit Card;Standard;Kentucky;Quarterly;2.6
46;50;Male;Socks;Clothing;XL;Indigo;Fall; $29.00 ;PayPal;Free Shipping;Tennessee;Quarterly;3.9
47;57;Male;Shirt;Clothing;L;White;Summer; $59.00 ;Debit Card;2-Day Shipping;California;Annually;3.5
48;55;Male;Jewelry;Accessories;M;Charcoal;Winter; $88.00 ;Bank Transfer;Next Day Air;Montana;Fortnightly;3.1
49;42;Male;Shirt;Clothing;M;Orange;Summer; $100.00 ;Debit Card;Standard;Nevada;Weekly;4.0
50;68;Male;Hoodie;Clothing;S;Indigo;Spring; $41.00 ;Venmo;Standard;New Jersey;Quarterly;4.0
51;49;Male;Blouse;Clothing;M;Red;Spring; $52.00 ;Cash;Express;Maryland;Every 3 Months;3.7
52;59;Male;Skirt;Clothing;XL;Gray;Winter; $100.00 ;Cash;Standard;Vermont;Quarterly;4.3
53;42;Male;T-shirt;Clothing;M;Green;Summer; $48.00 ;Venmo;Next Day Air;Alaska;Annually;2.6
54;29;Male;Skirt;Clothing;S;Peach;Winter; $65.00 ;Cash;2-Day Shipping;Mississippi;Monthly;2.9
55;47;Male;Coat;Outerwear;M;Brown;Summer; $32.00 ;Venmo;Express;New Mexico;Annually;3.4
56;40;Male;Jacket;Outerwear;M;Lavender;Winter; $52.00 ;Venmo;2-Day Shipping;South Carolina;Quarterly;2.9
57;41;Male;Backpack;Accessories;XL;Brown;Summer; $32.00 ;Venmo;Next Day Air;Mississippi;Annually;3.1
58;21;Male;Coat;Outerwear;M;White;Summer; $47.00 ;Credit Card;Standard;West Virginia;Fortnightly;3.4
59;69;Male;Hoodie;Clothing;M;Charcoal;Summer; $80.00 ;Credit Card;Store Pickup;Missouri;Monthly;4.7
60;63;Male;Belt;Accessories;L;Yellow;Spring; $62.00 ;Bank Transfer;Next Day Air;Louisiana;Every 3 Months;4.3
61;50;Male;Sweater;Clothing;L;Brown;Summer; $36.00 ;Cash;Express;Idaho;Every 3 Months;3.6
62;55;Male;Scarf;Accessories;M;Orange;Winter; $21.00 ;PayPal;Next Day Air;Texas;Monthly;3.5
63;30;Male;Sneakers;Footwear;S;Magenta;Spring; $67.00 ;PayPal;Free Shipping;Mississippi;Quarterly;2.7
64;33;Male;Sunglasses;Accessories;L;Lavender;Winter; $64.00 ;Credit Card;Express;Arizona;Quarterly;3.9
65;65;Male;Boots;Footwear;S;Green;Fall; $93.00 ;PayPal;2-Day Shipping;Alabama;Fortnightly;3.2
66;65;Male;Backpack;Accessories;M;Purple;Spring; $68.00 ;Credit Card;2-Day Shipping;New Jersey;Fortnightly;4.5
67;31;Male;Blouse;Clothing;S;Magenta;Winter; $51.00 ;Venmo;Free Shipping;Pennsylvania;Fortnightly;3.1
68;45;Male;Coat;Outerwear;L;Gray;Winter; $66.00 ;Credit Card;Standard;Connecticut;Weekly;4.4
69;57;Male;Handbag;Accessories;L;Silver;Summer; $80.00 ;Bank Transfer;2-Day Shipping;Utah;Bi-Weekly;4.4
70;48;Male;Belt;Accessories;S;Cyan;Summer; $49.00 ;Cash;Free Shipping;Tennessee;Monthly;3.3
71;22;Male;Belt;Accessories;M;Magenta;Fall; $31.00 ;Debit Card;Store Pickup;Alabama;Fortnightly;4.9
72;36;Male;Dress;Clothing;L;Gold;Summer; $63.00 ;PayPal;Standard;Virginia;Quarterly;2.8
73;18;Male;Dress;Clothing;M;Olive;Winter; $62.00 ;Debit Card;Next Day Air;Georgia;Bi-Weekly;3.4
74;48;Male;Pants;Clothing;M;Teal;Spring; $100.00 ;Credit Card;Store Pickup;Hawaii;Every 3 Months;2.7
75;49;Male;Gloves;Accessories;L;Violet;Spring; $50.00 ;Venmo;Free Shipping;Indiana;Weekly;3.7
76;64;Male;Scarf;Accessories;M;Blue;Summer; $30.00 ;Venmo;Standard;Utah;Monthly;4.0
77;50;Male;Hat;Accessories;S;Teal;Summer; $98.00 ;Credit Card;Next Day Air;Delaware;Fortnightly;2.8
78;22;Male;Dress;Clothing;L;Gold;Summer; $82.00 ;Credit Card;Standard;Delaware;Quarterly;4.8
79;50;Male;Skirt;Clothing;M;Maroon;Spring; $69.00 ;Bank Transfer;Store Pickup;Nebraska;Annually;3.4
80;38;Male;Jacket;Outerwear;M;Olive;Winter; $73.00 ;Bank Transfer;Standard;Iowa;Monthly;4.1
81;19;Male;Sandals;Footwear;XL;Blue;Summer; $37.00 ;PayPal;Store Pickup;New York;Monthly;4.7
82;67;Male;Shoes;Footwear;L;Maroon;Summer; $68.00 ;Cash;Store Pickup;Virginia;Quarterly;4.1
83;19;Male;Pants;Clothing;S;Olive;Spring; $71.00 ;Bank Transfer;Standard;Georgia;Monthly;4.4
84;36;Male;Dress;Clothing;M;Turquoise;Summer; $45.00 ;Bank Transfer;Free Shipping;Texas;Weekly;2.5
85;52;Male;Coat;Outerwear;S;Peach;Spring; $69.00 ;Credit Card;Free Shipping;Arizona;Bi-Weekly;2.7
86;53;Male;Sunglasses;Accessories;M;Charcoal;Winter; $56.00 ;Venmo;Express;New Mexico;Every 3 Months;3.2
87;24;Male;Hoodie;Clothing;L;Pink;Spring; $92.00 ;Venmo;2-Day Shipping;Nevada;Fortnightly;4.2
88;52;Male;Shoes;Footwear;M;Green;Fall; $69.00 ;Debit Card;Next Day Air;Ohio;Monthly;2.5
89;33;Male;T-shirt;Clothing;M;Orange;Fall; $68.00 ;PayPal;2-Day Shipping;Wyoming;Every 3 Months;4.5
90;47;Male;Jacket;Outerwear;XL;Pink;Fall; $95.00 ;Bank Transfer;Express;California;Annually;3.7
91;25;Male;Hat;Accessories;L;Violet;Summer; $36.00 ;Venmo;Next Day Air;South Carolina;Bi-Weekly;4.1
92;44;Male;Scarf;Accessories;S;Green;Winter; $100.00 ;Bank Transfer;Store Pickup;South Carolina;Fortnightly;3.1
93;61;Male;Jacket;Outerwear;M;Olive;Winter; $33.00 ;Cash;Express;Texas;Fortnightly;3.0
94;37;Male;Sweater;Clothing;M;Purple;Fall; $78.00 ;Venmo;Next Day Air;Florida;Bi-Weekly;3.5
95;58;Male;Skirt;Clothing;S;Silver;Spring; $71.00 ;PayPal;Express;Nevada;Quarterly;3.2
96;37;Male;Sneakers;Footwear;L;Pink;Fall; $59.00 ;Credit Card;Free Shipping;Missouri;Fortnightly;2.5
97;32;Male;Gloves;Accessories;S;Gold;Spring; $76.00 ;Bank Transfer;Next Day Air;Delaware;Monthly;4.7
98;21;Male;Shoes;Footwear;M;Teal;Winter; $80.00 ;Venmo;2-Day Shipping;Virginia;Weekly;3.0
99;20;Male;Jeans;Clothing;XL;Teal;Spring; $53.00 ;Venmo;Standard;New York;Annually;3.4
100;26;Male;Hoodie;Clothing;XL;Indigo;Summer; $41.00 ;PayPal;Free Shipping;Missouri;Quarterly;4.0
101;62;Male;Sunglasses;Accessories;M;Maroon;Fall; $52.00 ;Credit Card;2-Day Shipping;South Dakota;Quarterly;4.6
102;27;Male;Coat;Outerwear;XL;White;Spring; $47.00 ;Cash;2-Day Shipping;North Dakota;Fortnightly;2.9
103;51;Male;Socks;Clothing;L;Violet;Winter; $52.00 ;PayPal;Store Pickup;Oklahoma;Annually;3.7
104;54;Male;Boots;Footwear;L;Red;Winter; $56.00 ;Credit Card;Express;West Virginia;Monthly;4.9
105;55;Male;Sunglasses;Accessories;L;Pink;Spring; $78.00 ;Bank Transfer;Free Shipping;New Hampshire;Annually;3.1
106;69;Male;Backpack;Accessories;M;Charcoal;Fall; $93.00 ;Cash;Express;New York;Weekly;3.9
107;64;Male;Jacket;Outerwear;L;White;Summer; $36.00 ;Credit Card;Free Shipping;Minnesota;Fortnightly;4.4
108;28;Male;Sneakers;Footwear;L;Olive;Winter; $32.00 ;PayPal;Standard;Maryland;Fortnightly;3.1
109;70;Male;Socks;Clothing;L;Purple;Spring; $95.00 ;Venmo;Next Day Air;Montana;Every 3 Months;4.6
110;58;Male;T-shirt;Clothing;M;Violet;Spring; $66.00 ;Cash;Free Shipping;Alabama;Annually;2.7
111;56;Male;Backpack;Accessories;M;Black;Summer; $98.00 ;Debit Card;Next Day Air;New York;Bi-Weekly;4.3
112;26;Male;Belt;Accessories;L;Purple;Summer; $48.00 ;Debit Card;Express;Massachusetts;Every 3 Months;4.3
113;37;Male;Gloves;Accessories;M;Red;Spring; $79.00 ;Venmo;Store Pickup;Florida;Quarterly;2.7
114;44;Male;Hat;Accessories;L;Maroon;Winter; $59.00 ;Bank Transfer;Express;New Jersey;Every 3 Months;3.0
115;70;Male;Coat;Outerwear;S;Blue;Summer; $78.00 ;Bank Transfer;Express;Massachusetts;Annually;4.4
116;53;Male;Skirt;Clothing;M;Gray;Spring; $91.00 ;Debit Card;Express;Wyoming;Annually;2.6
117;55;Male;Shoes;Footwear;S;Blue;Spring; $88.00 ;Venmo;Standard;Virginia;Fortnightly;2.7
118;50;Male;Sandals;Footwear;L;Yellow;Summer; $25.00 ;Venmo;2-Day Shipping;South Dakota;Bi-Weekly;3.8
119;50;Male;Sweater;Clothing;L;Orange;Fall; $64.00 ;Credit Card;Next Day Air;Kentucky;Annually;4.4
120;38;Male;Coat;Outerwear;M;Orange;Fall; $54.00 ;Credit Card;Next Day Air;Wyoming;Every 3 Months;3.3
121;64;Male;Hat;Accessories;L;Red;Summer; $40.00 ;PayPal;Free Shipping;West Virginia;Bi-Weekly;2.9
122;19;Male;Shorts;Clothing;M;Olive;Winter; $20.00 ;PayPal;Express;Virginia;Monthly;3.0
123;40;Male;Backpack;Accessories;L;Brown;Spring; $94.00 ;Cash;Free Shipping;Washington;Bi-Weekly;4.6
124;57;Male;Sweater;Clothing;L;Brown;Fall; $80.00 ;Debit Card;Standard;Louisiana;Monthly;4.6
125;44;Male;Sweater;Clothing;M;Gray;Spring; $41.00 ;Cash;Store Pickup;Nevada;Annually;3.1
126;49;Male;Shorts;Clothing;M;Indigo;Winter; $37.00 ;Cash;Free Shipping;California;Quarterly;4.1
127;43;Male;Shorts;Clothing;L;Pink;Spring; $81.00 ;PayPal;Free Shipping;Mississippi;Quarterly;4.5
128;24;Male;Sweater;Clothing;M;Gray;Winter; $68.00 ;Venmo;2-Day Shipping;Mississippi;Fortnightly;3.2
129;20;Male;Scarf;Accessories;M;Gold;Spring; $64.00 ;Bank Transfer;2-Day Shipping;California;Fortnightly;3.5
130;24;Male;Dress;Clothing;XL;Olive;Summer; $38.00 ;Bank Transfer;Store Pickup;Pennsylvania;Annually;2.5
131;44;Male;Scarf;Accessories;L;Violet;Fall; $43.00 ;Credit Card;Next Day Air;Kentucky;Bi-Weekly;2.6
132;28;Male;Skirt;Clothing;L;Indigo;Summer; $76.00 ;Debit Card;Express;Maine;Quarterly;3.6
133;30;Male;Backpack;Accessories;M;Orange;Fall; $47.00 ;Bank Transfer;Free Shipping;New Mexico;Quarterly;4.5
134;52;Male;Sweater;Clothing;M;Violet;Winter; $38.00 ;Venmo;Standard;Montana;Weekly;4.3
135;43;Male;Hat;Accessories;L;Gray;Fall; $68.00 ;Venmo;Express;Texas;Fortnightly;2.6
136;43;Male;Sandals;Footwear;M;Purple;Fall; $38.00 ;Credit Card;Free Shipping;Kansas;Quarterly;3.5
137;39;Male;Blouse;Clothing;M;White;Winter; $98.00 ;Debit Card;Standard;South Carolina;Annually;4.7
138;68;Male;Sneakers;Footwear;M;Turquoise;Spring; $28.00 ;Venmo;Next Day Air;Colorado;Weekly;3.5
139;68;Male;Skirt;Clothing;M;Maroon;Winter; $66.00 ;Bank Transfer;2-Day Shipping;Georgia;Quarterly;4.8
140;49;Male;Coat;Outerwear;M;White;Fall; $39.00 ;Cash;Store Pickup;Florida;Fortnightly;3.6
141;63;Male;Shirt;Clothing;L;Yellow;Fall; $54.00 ;Venmo;2-Day Shipping;North Carolina;Bi-Weekly;2.8
142;56;Male;Gloves;Accessories;M;Turquoise;Fall; $62.00 ;Debit Card;Free Shipping;Virginia;Every 3 Months;4.4
143;37;Male;Jacket;Outerwear;L;Violet;Fall; $57.00 ;Credit Card;Express;Nebraska;Fortnightly;3.9
144;30;Male;Coat;Outerwear;M;Beige;Fall; $35.00 ;Credit Card;Free Shipping;Missouri;Weekly;4.3
145;19;Male;Shoes;Footwear;M;Silver;Fall; $55.00 ;Debit Card;2-Day Shipping;New Jersey;Weekly;5.0
146;24;Male;Jewelry;Accessories;M;Teal;Fall; $37.00 ;Credit Card;Standard;Missouri;Every 3 Months;4.2
147;52;Male;Skirt;Clothing;S;Black;Fall; $74.00 ;Credit Card;Free Shipping;Colorado;Bi-Weekly;4.4
148;63;Male;Shoes;Footwear;M;Purple;Summer; $75.00 ;Debit Card;Express;Idaho;Annually;4.6
149;37;Male;Gloves;Accessories;M;Gray;Fall; $31.00 ;Credit Card;2-Day Shipping;Wyoming;Annually;3.4
150;38;Male;Pants;Clothing;M;White;Summer; $56.00 ;PayPal;Free Shipping;Delaware;Fortnightly;3.2
151;35;Male;Boots;Footwear;L;Cyan;Fall; $68.00 ;Credit Card;Store Pickup;California;Quarterly;4.4
152;28;Male;Sunglasses;Accessories;L;Turquoise;Fall; $40.00 ;Cash;2-Day Shipping;North Dakota;Annually;2.7
153;30;Male;Shirt;Clothing;S;Brown;Summer; $90.00 ;Debit Card;2-Day Shipping;South Carolina;Weekly;2.7
154;69;Male;Hoodie;Clothing;M;Maroon;Winter; $78.00 ;Debit Card;Next Day Air;North Carolina;Every 3 Months;3.7
155;41;Male;Dress;Clothing;M;Charcoal;Fall; $36.00 ;Debit Card;Express;Oklahoma;Fortnightly;3.8
156;63;Male;Socks;Clothing;S;Olive;Spring; $86.00 ;Debit Card;Next Day Air;Maine;Monthly;5.0
157;35;Male;Shorts;Clothing;M;Lavender;Fall; $89.00 ;Venmo;2-Day Shipping;Missouri;Annually;4.0
158;36;Male;Hat;Accessories;S;Yellow;Fall; $23.00 ;Venmo;Standard;Vermont;Fortnightly;3.9
159;25;Male;Shirt;Clothing;XL;Teal;Fall; $25.00 ;Cash;Store Pickup;Connecticut;Every 3 Months;3.8
160;58;Male;Gloves;Accessories;M;Charcoal;Fall; $33.00 ;Bank Transfer;Express;New Hampshire;Quarterly;2.9
161;27;Male;Gloves;Accessories;M;Orange;Summer; $48.00 ;Cash;2-Day Shipping;Texas;Annually;3.2
162;65;Male;Backpack;Accessories;M;Olive;Fall; $82.00 ;Venmo;Next Day Air;North Dakota;Every 3 Months;3.4
163;54;Male;Sunglasses;Accessories;M;Turquoise;Summer; $68.00 ;PayPal;Express;California;Weekly;4.5
164;54;Male;Skirt;Clothing;M;Purple;Summer; $72.00 ;Credit Card;Free Shipping;Virginia;Weekly;3.2
165;59;Male;Handbag;Accessories;S;Purple;Spring; $47.00 ;Venmo;2-Day Shipping;Delaware;Weekly;3.6
166;42;Male;Handbag;Accessories;S;Yellow;Winter; $23.00 ;Bank Transfer;Free Shipping;Kentucky;Annually;4.5
167;46;Male;Sneakers;Footwear;XL;Indigo;Fall; $38.00 ;PayPal;2-Day Shipping;Delaware;Weekly;4.8
168;33;Male;Gloves;Accessories;M;Green;Fall; $95.00 ;Venmo;2-Day Shipping;Arkansas;Fortnightly;4.7
169;34;Male;Shoes;Footwear;M;Magenta;Summer; $64.00 ;Bank Transfer;Express;Louisiana;Quarterly;4.1
170;27;Male;Jacket;Outerwear;S;Gold;Summer; $94.00 ;PayPal;Express;Nevada;Monthly;5.0
171;52;Male;Shirt;Clothing;M;Maroon;Fall; $75.00 ;Credit Card;Express;Wyoming;Every 3 Months;3.5
172;29;Male;Shorts;Clothing;M;Blue;Summer; $51.00 ;Cash;Standard;Virginia;Bi-Weekly;2.6
173;54;Male;Jewelry;Accessories;M;Violet;Summer; $68.00 ;Debit Card;Next Day Air;Nebraska;Fortnightly;3.0
174;25;Male;Hat;Accessories;M;Turquoise;Fall; $64.00 ;Cash;Next Day Air;Hawaii;Every 3 Months;2.9
175;41;Male;Shoes;Footwear;L;Brown;Winter; $58.00 ;Credit Card;Express;Vermont;Every 3 Months;4.0
176;53;Male;Coat;Outerwear;L;Violet;Fall; $26.00 ;Cash;Store Pickup;Oklahoma;Weekly;3.6
177;53;Male;Backpack;Accessories;L;Black;Spring; $69.00 ;Credit Card;Express;New Hampshire;Bi-Weekly;4.8
178;21;Male;Hoodie;Clothing;L;Magenta;Fall; $47.00 ;Venmo;Standard;Kansas;Every 3 Months;4.7
179;61;Male;Skirt;Clothing;L;Lavender;Fall; $62.00 ;Cash;Store Pickup;Idaho;Weekly;3.3
180;64;Male;Boots;Footwear;M;Violet;Fall; $22.00 ;Bank Transfer;Free Shipping;Illinois;Weekly;3.5
181;51;Male;Sandals;Footwear;L;Green;Fall; $81.00 ;Cash;Free Shipping;South Dakota;Every 3 Months;3.8
182;32;Male;Pants;Clothing;M;Beige;Summer; $32.00 ;Bank Transfer;Express;Massachusetts;Every 3 Months;3.8
183;38;Male;Gloves;Accessories;XL;Purple;Summer; $34.00 ;Cash;Standard;Alabama;Every 3 Months;4.4
184;58;Male;Skirt;Clothing;XL;Beige;Spring; $31.00 ;Credit Card;Express;Ohio;Monthly;4.5
185;32;Male;Sneakers;Footwear;L;Cyan;Spring; $75.00 ;Cash;2-Day Shipping;Hawaii;Quarterly;3.2
186;46;Male;T-shirt;Clothing;XL;Silver;Summer; $57.00 ;PayPal;Store Pickup;Wisconsin;Quarterly;4.6
187;39;Male;Backpack;Accessories;S;Lavender;Summer; $82.00 ;Venmo;Free Shipping;Minnesota;Monthly;4.2
188;19;Male;Shoes;Footwear;S;Purple;Spring; $38.00 ;Credit Card;Store Pickup;Georgia;Fortnightly;4.5
189;50;Male;Hoodie;Clothing;M;Pink;Spring; $86.00 ;Debit Card;Standard;Arkansas;Monthly;4.6
190;36;Male;Blouse;Clothing;M;Maroon;Fall; $73.00 ;Cash;Free Shipping;West Virginia;Every 3 Months;5.0
191;65;Male;Coat;Outerwear;XL;Beige;Fall; $37.00 ;Cash;Express;Indiana;Fortnightly;4.9
192;64;Male;Hat;Accessories;M;Gray;Fall; $51.00 ;PayPal;Express;Utah;Bi-Weekly;2.9
193;46;Male;Shoes;Footwear;L;Turquoise;Summer; $26.00 ;Credit Card;Free Shipping;Nebraska;Quarterly;4.0
194;36;Male;Belt;Accessories;S;Silver;Fall; $51.00 ;Bank Transfer;Standard;North Dakota;Weekly;2.7
195;51;Male;Backpack;Accessories;M;Olive;Spring; $32.00 ;Venmo;Free Shipping;Missouri;Weekly;4.7
196;51;Male;Jacket;Outerwear;M;Magenta;Fall; $54.00 ;Venmo;2-Day Shipping;New York;Bi-Weekly;4.3
197;38;Male;Boots;Footwear;M;Lavender;Summer; $98.00 ;Debit Card;Store Pickup;Washington;Monthly;2.6
198;59;Male;Scarf;Accessories;M;Black;Fall; $59.00 ;Debit Card;Store Pickup;South Carolina;Quarterly;3.8
199;57;Male;Jewelry;Accessories;M;Turquoise;Winter; $64.00 ;PayPal;Store Pickup;Utah;Quarterly;3.3
200;54;Male;Hat;Accessories;XL;Green;Summer; $89.00 ;Cash;Free Shipping;Idaho;Quarterly;3.7
201;25;Male;Dress;Clothing;S;Teal;Summer; $80.00 ;PayPal;2-Day Shipping;Pennsylvania;Every 3 Months;3.6
202;69;Male;Blouse;Clothing;S;Beige;Fall; $79.00 ;Bank Transfer;Store Pickup;Missouri;Weekly;3.2
203;57;Male;Hat;Accessories;L;Magenta;Spring; $77.00 ;PayPal;Store Pickup;Nebraska;Monthly;4.5
204;70;Male;Scarf;Accessories;S;Yellow;Fall; $33.00 ;Credit Card;Standard;Indiana;Fortnightly;4.0
205;24;Male;Sneakers;Footwear;M;Yellow;Fall; $22.00 ;Bank Transfer;Standard;Arizona;Fortnightly;4.5
206;67;Male;Shirt;Clothing;M;Silver;Winter; $22.00 ;Bank Transfer;Store Pickup;Hawaii;Monthly;5.0
207;24;Male;T-shirt;Clothing;L;Silver;Summer; $52.00 ;Debit Card;Standard;Wisconsin;Bi-Weekly;4.6
208;62;Male;Gloves;Accessories;M;Silver;Summer; $55.00 ;Bank Transfer;Express;Rhode Island;Annually;3.6
209;57;Male;Skirt;Clothing;M;Gold;Spring; $48.00 ;PayPal;Free Shipping;Wisconsin;Every 3 Months;2.5
210;55;Male;Sandals;Footwear;S;Olive;Winter; $91.00 ;Venmo;2-Day Shipping;Minnesota;Bi-Weekly;3.0
211;45;Male;Jacket;Outerwear;L;Teal;Fall; $76.00 ;PayPal;Free Shipping;Vermont;Weekly;3.0
212;69;Male;Skirt;Clothing;L;Maroon;Fall; $49.00 ;Credit Card;Next Day Air;South Dakota;Monthly;3.3
213;67;Male;Handbag;Accessories;L;Blue;Fall; $99.00 ;PayPal;Express;Virginia;Quarterly;3.4
214;30;Male;Handbag;Accessories;L;Peach;Fall; $58.00 ;PayPal;Store Pickup;Nevada;Fortnightly;4.9
215;24;Male;Jacket;Outerwear;L;Blue;Summer; $79.00 ;PayPal;Free Shipping;Hawaii;Bi-Weekly;4.8
216;62;Male;Scarf;Accessories;S;Orange;Spring; $95.00 ;Cash;2-Day Shipping;New Jersey;Monthly;4.0
217;43;Male;Shorts;Clothing;L;Yellow;Spring; $79.00 ;Credit Card;Store Pickup;Massachusetts;Annually;3.0
218;35;Male;Sunglasses;Accessories;M;Purple;Winter; $98.00 ;Cash;Next Day Air;Oklahoma;Quarterly;2.6
219;28;Male;T-shirt;Clothing;S;Magenta;Spring; $38.00 ;Cash;Free Shipping;California;Quarterly;3.3
220;32;Male;Belt;Accessories;M;Cyan;Spring; $83.00 ;PayPal;Next Day Air;Nevada;Every 3 Months;4.5
221;39;Male;Sneakers;Footwear;S;Indigo;Spring; $40.00 ;Bank Transfer;2-Day Shipping;Arizona;Weekly;3.8
222;28;Male;Hat;Accessories;XL;Magenta;Summer; $85.00 ;Credit Card;Standard;North Carolina;Weekly;3.7
223;47;Male;Gloves;Accessories;XL;Gray;Spring; $83.00 ;PayPal;Standard;New York;Every 3 Months;3.3
