Customer_ID;Age;Gender;Item_Purchased;Category;Size;Color;Season;Purchase_Amount__USD_;Payment_Method;Transaction_ID;Shipping_Type;Shippment_ID;Location;Location ID;Frequency_of_Purchases;Review_Rating
70;48;Male;Belt;Accessories;S;Cyan;Summer; $49.00 ;Cash;70;Free Shipping;70;Tennessee;70;Monthly;3.3
71;22;Male;Belt;Accessories;M;Magenta;Fall; $31.00 ;Debit Card;71;Store Pickup;71;Alabama;71;Fortnightly;4.9
72;36;Male;Dress;Clothing;L;Gold;Summer; $63.00 ;PayPal;72;Standard;72;Virginia;72;Quarterly;2.8
73;18;Male;Dress;Clothing;M;Olive;Winter; $62.00 ;Debit Card;73;Next Day Air;73;Georgia;73;Bi-Weekly;3.4
74;48;Male;Pants;Clothing;M;Teal;Spring; $100.00 ;Credit Card;74;Store Pickup;74;Hawaii;74;Every 3 Months;2.7
75;49;Male;Gloves;Accessories;L;Violet;Spring; $50.00 ;Venmo;75;Free Shipping;75;Indiana;75;Weekly;3.7
76;64;Male;Scarf;Accessories;M;Blue;Summer; $30.00 ;Venmo;76;Standard;76;Utah;76;Monthly;4
77;50;Male;Hat;Accessories;S;Teal;Summer; $98.00 ;Credit Card;77;Next Day Air;77;Delaware;77;Fortnightly;2.8
78;22;Male;Dress;Clothing;L;Gold;Summer; $82.00 ;Credit Card;78;Standard;78;Delaware;78;Quarterly;4.8
79;50;Male;Skirt;Clothing;M;Maroon;Spring; $69.00 ;Bank Transfer;79;Store Pickup;79;Nebraska;79;Annually;3.4
80;38;Male;Jacket;Outerwear;M;Olive;Winter; $73.00 ;Bank Transfer;80;Standard;80;Iowa;80;Monthly;4.1
81;19;Male;Sandals;Footwear;XL;Blue;Summer; $37.00 ;PayPal;81;Store Pickup;81;New York;81;Monthly;4.7
82;67;Male;Shoes;Footwear;L;Maroon;Summer; $68.00 ;Cash;82;Store Pickup;82;Virginia;82;Quarterly;4.1
83;19;Male;Pants;Clothing;S;Olive;Spring; $71.00 ;Bank Transfer;83;Standard;83;Georgia;83;Monthly;4.4
84;36;Male;Dress;Clothing;M;Turquoise;Summer; $45.00 ;Bank Transfer;84;Free Shipping;84;Texas;84;Weekly;2.5
85;52;Male;Coat;Outerwear;S;Peach;Spring; $69.00 ;Credit Card;85;Free Shipping;85;Arizona;85;Bi-Weekly;2.7
86;53;Male;Sunglasses;Accessories;M;Charcoal;Winter; $56.00 ;Venmo;86;Express;86;New Mexico;86;Every 3 Months;3.2
87;24;Male;Hoodie;Clothing;L;Pink;Spring; $92.00 ;Venmo;87;2-Day Shipping;87;Nevada;87;Fortnightly;4.2
88;52;Male;Shoes;Footwear;M;Green;Fall; $69.00 ;Debit Card;88;Next Day Air;88;Ohio;88;Monthly;2.5
89;33;Male;T-shirt;Clothing;M;Orange;Fall; $68.00 ;PayPal;89;2-Day Shipping;89;Wyoming;89;Every 3 Months;4.5
90;47;Male;Jacket;Outerwear;XL;Pink;Fall; $95.00 ;Bank Transfer;90;Express;90;California;90;Annually;3.7
91;25;Male;Hat;Accessories;L;Violet;Summer; $36.00 ;Venmo;91;Next Day Air;91;South Carolina;91;Bi-Weekly;4.1
92;44;Male;Scarf;Accessories;S;Green;Winter; $100.00 ;Bank Transfer;92;Store Pickup;92;South Carolina;92;Fortnightly;3.1
93;61;Male;Jacket;Outerwear;M;Olive;Winter; $33.00 ;Cash;93;Express;93;Texas;93;Fortnightly;3
94;37;Male;Sweater;Clothing;M;Purple;Fall; $78.00 ;Venmo;94;Next Day Air;94;Florida;94;Bi-Weekly;3.5
95;58;Male;Skirt;Clothing;S;Silver;Spring; $71.00 ;PayPal;95;Express;95;Nevada;95;Quarterly;3.2
96;37;Male;Sneakers;Footwear;L;Pink;Fall; $59.00 ;Credit Card;96;Free Shipping;96;Missouri;96;Fortnightly;2.5
97;32;Male;Gloves;Accessories;S;Gold;Spring; $76.00 ;Bank Transfer;97;Next Day Air;97;Delaware;97;Monthly;4.7
98;21;Male;Shoes;Footwear;M;Teal;Winter; $80.00 ;Venmo;98;2-Day Shipping;98;Virginia;98;Weekly;3
99;20;Male;Jeans;Clothing;XL;Teal;Spring; $53.00 ;Venmo;99;Standard;99;New York;99;Annually;3.4
100;26;Male;Hoodie;Clothing;XL;Indigo;Summer; $41.00 ;PayPal;100;Free Shipping;100;Missouri;100;Quarterly;4
101;62;Male;Sunglasses;Accessories;M;Maroon;Fall; $52.00 ;Credit Card;101;2-Day Shipping;101;South Dakota;101;Quarterly;4.6
102;27;Male;Coat;Outerwear;XL;White;Spring; $47.00 ;Cash;102;2-Day Shipping;102;North Dakota;102;Fortnightly;2.9
103;51;Male;Socks;Clothing;L;Violet;Winter; $52.00 ;PayPal;103;Store Pickup;103;Oklahoma;103;Annually;3.7
104;54;Male;Boots;Footwear;L;Red;Winter; $56.00 ;Credit Card;104;Express;104;West Virginia;104;Monthly;4.9
105;55;Male;Sunglasses;Accessories;L;Pink;Spring; $78.00 ;Bank Transfer;105;Free Shipping;105;New Hampshire;105;Annually;3.1
106;69;Male;Backpack;Accessories;M;Charcoal;Fall; $93.00 ;Cash;106;Express;106;New York;106;Weekly;3.9
107;64;Male;Jacket;Outerwear;L;White;Summer; $36.00 ;Credit Card;107;Free Shipping;107;Minnesota;107;Fortnightly;4.4
108;28;Male;Sneakers;Footwear;L;Olive;Winter; $32.00 ;PayPal;108;Standard;108;Maryland;108;Fortnightly;3.1
109;70;Male;Socks;Clothing;L;Purple;Spring; $95.00 ;Venmo;109;Next Day Air;109;Montana;109;Every 3 Months;4.6
110;58;Male;T-shirt;Clothing;M;Violet;Spring; $66.00 ;Cash;110;Free Shipping;110;Alabama;110;Annually;2.7
111;56;Male;Backpack;Accessories;M;Black;Summer; $98.00 ;Debit Card;111;Next Day Air;111;New York;111;Bi-Weekly;4.3
112;26;Male;Belt;Accessories;L;Purple;Summer; $48.00 ;Debit Card;112;Express;112;Massachusetts;112;Every 3 Months;4.3
113;37;Male;Gloves;Accessories;M;Red;Spring; $79.00 ;Venmo;113;Store Pickup;113;Florida;113;Quarterly;2.7
114;44;Male;Hat;Accessories;L;Maroon;Winter; $59.00 ;Bank Transfer;114;Express;114;New Jersey;114;Every 3 Months;3
115;70;Male;Coat;Outerwear;S;Blue;Summer; $78.00 ;Bank Transfer;115;Express;115;Massachusetts;115;Annually;4.4
116;53;Male;Skirt;Clothing;M;Gray;Spring; $91.00 ;Debit Card;116;Express;116;Wyoming;116;Annually;2.6
117;55;Male;Shoes;Footwear;S;Blue;Spring; $88.00 ;Venmo;117;Standard;117;Virginia;117;Fortnightly;2.7
118;50;Male;Sandals;Footwear;L;Yellow;Summer; $25.00 ;Venmo;118;2-Day Shipping;118;South Dakota;118;Bi-Weekly;3.8
119;50;Male;Sweater;Clothing;L;Orange;Fall; $64.00 ;Credit Card;119;Next Day Air;119;Kentucky;119;Annually;4.4
120;38;Male;Coat;Outerwear;M;Orange;Fall; $54.00 ;Credit Card;120;Next Day Air;120;Wyoming;120;Every 3 Months;3.3
121;64;Male;Hat;Accessories;L;Red;Summer; $40.00 ;PayPal;121;Free Shipping;121;West Virginia;121;Bi-Weekly;2.9
122;19;Male;Shorts;Clothing;M;Olive;Winter; $20.00 ;PayPal;122;Express;122;Virginia;122;Monthly;3
123;40;Male;Backpack;Accessories;L;Brown;Spring; $94.00 ;Cash;123;Free Shipping;123;Washington;123;Bi-Weekly;4.6
124;57;Male;Sweater;Clothing;L;Brown;Fall; $80.00 ;Debit Card;124;Standard;124;Louisiana;124;Monthly;4.6
125;44;Male;Sweater;Clothing;M;Gray;Spring; $41.00 ;Cash;125;Store Pickup;125;Nevada;125;Annually;3.1
126;49;Male;Shorts;Clothing;M;Indigo;Winter; $37.00 ;Cash;126;Free Shipping;126;California;126;Quarterly;4.1
127;43;Male;Shorts;Clothing;L;Pink;Spring; $81.00 ;PayPal;127;Free Shipping;127;Mississippi;127;Quarterly;4.5
128;24;Male;Sweater;Clothing;M;Gray;Winter; $68.00 ;Venmo;128;2-Day Shipping;128;Mississippi;128;Fortnightly;3.2
129;20;Male;Scarf;Accessories;M;Gold;Spring; $64.00 ;Bank Transfer;129;2-Day Shipping;129;California;129;Fortnightly;3.5
130;24;Male;Dress;Clothing;XL;Olive;Summer; $38.00 ;Bank Transfer;130;Store Pickup;130;Pennsylvania;130;Annually;2.5
131;44;Male;Scarf;Accessories;L;Violet;Fall; $43.00 ;Credit Card;131;Next Day Air;131;Kentucky;131;Bi-Weekly;2.6
132;28;Male;Skirt;Clothing;L;Indigo;Summer; $76.00 ;Debit Card;132;Express;132;Maine;132;Quarterly;3.6
133;30;Male;Backpack;Accessories;M;Orange;Fall; $47.00 ;Bank Transfer;133;Free Shipping;133;New Mexico;133;Quarterly;4.5
134;52;Male;Sweater;Clothing;M;Violet;Winter; $38.00 ;Venmo;134;Standard;134;Montana;134;Weekly;4.3
135;43;Male;Hat;Accessories;L;Gray;Fall; $68.00 ;Venmo;135;Express;135;Texas;135;Fortnightly;2.6
136;43;Male;Sandals;Footwear;M;Purple;Fall; $38.00 ;Credit Card;136;Free Shipping;136;Kansas;136;Quarterly;3.5
137;39;Male;Blouse;Clothing;M;White;Winter; $98.00 ;Debit Card;137;Standard;137;South Carolina;137;Annually;4.7
138;68;Male;Sneakers;Footwear;M;Turquoise;Spring; $28.00 ;Venmo;138;Next Day Air;138;Colorado;138;Weekly;3.5
139;68;Male;Skirt;Clothing;M;Maroon;Winter; $66.00 ;Bank Transfer;139;2-Day Shipping;139;Georgia;139;Quarterly;4.8
140;49;Male;Coat;Outerwear;M;White;Fall; $39.00 ;Cash;140;Store Pickup;140;Florida;140;Fortnightly;3.6
141;63;Male;Shirt;Clothing;L;Yellow;Fall; $54.00 ;Venmo;141;2-Day Shipping;141;North Carolina;141;Bi-Weekly;2.8
142;56;Male;Gloves;Accessories;M;Turquoise;Fall; $62.00 ;Debit Card;142;Free Shipping;142;Virginia;142;Every 3 Months;4.4
143;37;Male;Jacket;Outerwear;L;Violet;Fall; $57.00 ;Credit Card;143;Express;143;Nebraska;143;Fortnightly;3.9
144;30;Male;Coat;Outerwear;M;Beige;Fall; $35.00 ;Credit Card;144;Free Shipping;144;Missouri;144;Weekly;4.3
145;19;Male;Shoes;Footwear;M;Silver;Fall; $55.00 ;Debit Card;145;2-Day Shipping;145;New Jersey;145;Weekly;5
146;24;Male;Jewelry;Accessories;M;Teal;Fall; $37.00 ;Credit Card;146;Standard;146;Missouri;146;Every 3 Months;4.2
147;52;Male;Skirt;Clothing;S;Black;Fall; $74.00 ;Credit Card;147;Free Shipping;147;Colorado;147;Bi-Weekly;4.4
148;63;Male;Shoes;Footwear;M;Purple;Summer; $75.00 ;Debit Card;148;Express;148;Idaho;148;Annually;4.6
149;37;Male;Gloves;Accessories;M;Gray;Fall; $31.00 ;Credit Card;149;2-Day Shipping;149;Wyoming;149;Annually;3.4
150;38;Male;Pants;Clothing;M;White;Summer; $56.00 ;PayPal;150;Free Shipping;150;Delaware;150;Fortnightly;3.2
151;35;Male;Boots;Footwear;L;Cyan;Fall; $68.00 ;Credit Card;151;Store Pickup;151;California;151;Quarterly;4.4
152;28;Male;Sunglasses;Accessories;L;Turquoise;Fall; $40.00 ;Cash;152;2-Day Shipping;152;North Dakota;152;Annually;2.7
153;30;Male;Shirt;Clothing;S;Brown;Summer; $90.00 ;Debit Card;153;2-Day Shipping;153;South Carolina;153;Weekly;2.7
154;69;Male;Hoodie;Clothing;M;Maroon;Winter; $78.00 ;Debit Card;154;Next Day Air;154;North Carolina;154;Every 3 Months;3.7
155;41;Male;Dress;Clothing;M;Charcoal;Fall; $36.00 ;Debit Card;155;Express;155;Oklahoma;155;Fortnightly;3.8
156;63;Male;Socks;Clothing;S;Olive;Spring; $86.00 ;Debit Card;156;Next Day Air;156;Maine;156;Monthly;5
157;35;Male;Shorts;Clothing;M;Lavender;Fall; $89.00 ;Venmo;157;2-Day Shipping;157;Missouri;157;Annually;4
158;36;Male;Hat;Accessories;S;Yellow;Fall; $23.00 ;Venmo;158;Standard;158;Vermont;158;Fortnightly;3.9
159;25;Male;Shirt;Clothing;XL;Teal;Fall; $25.00 ;Cash;159;Store Pickup;159;Connecticut;159;Every 3 Months;3.8
160;58;Male;Gloves;Accessories;M;Charcoal;Fall; $33.00 ;Bank Transfer;160;Express;160;New Hampshire;160;Quarterly;2.9
161;27;Male;Gloves;Accessories;M;Orange;Summer; $48.00 ;Cash;161;2-Day Shipping;161;Texas;161;Annually;3.2
162;65;Male;Backpack;Accessories;M;Olive;Fall; $82.00 ;Venmo;162;Next Day Air;162;North Dakota;162;Every 3 Months;3.4
163;54;Male;Sunglasses;Accessories;M;Turquoise;Summer; $68.00 ;PayPal;163;Express;163;California;163;Weekly;4.5
164;54;Male;Skirt;Clothing;M;Purple;Summer; $72.00 ;Credit Card;164;Free Shipping;164;Virginia;164;Weekly;3.2
165;59;Male;Handbag;Accessories;S;Purple;Spring; $47.00 ;Venmo;165;2-Day Shipping;165;Delaware;165;Weekly;3.6
166;42;Male;Handbag;Accessories;S;Yellow;Winter; $23.00 ;Bank Transfer;166;Free Shipping;166;Kentucky;166;Annually;4.5
167;46;Male;Sneakers;Footwear;XL;Indigo;Fall; $38.00 ;PayPal;167;2-Day Shipping;167;Delaware;167;Weekly;4.8
168;33;Male;Gloves;Accessories;M;Green;Fall; $95.00 ;Venmo;168;2-Day Shipping;168;Arkansas;168;Fortnightly;4.7
169;34;Male;Shoes;Footwear;M;Magenta;Summer; $64.00 ;Bank Transfer;169;Express;169;Louisiana;169;Quarterly;4.1
170;27;Male;Jacket;Outerwear;S;Gold;Summer; $94.00 ;PayPal;170;Express;170;Nevada;170;Monthly;5
171;52;Male;Shirt;Clothing;M;Maroon;Fall; $75.00 ;Credit Card;171;Express;171;Wyoming;171;Every 3 Months;3.5
172;29;Male;Shorts;Clothing;M;Blue;Summer; $51.00 ;Cash;172;Standard;172;Virginia;172;Bi-Weekly;2.6
173;54;Male;Jewelry;Accessories;M;Violet;Summer; $68.00 ;Debit Card;173;Next Day Air;173;Nebraska;173;Fortnightly;3
174;25;Male;Hat;Accessories;M;Turquoise;Fall; $64.00 ;Cash;174;Next Day Air;174;Hawaii;174;Every 3 Months;2.9
175;41;Male;Shoes;Footwear;L;Brown;Winter; $58.00 ;Credit Card;175;Express;175;Vermont;175;Every 3 Months;4
176;53;Male;Coat;Outerwear;L;Violet;Fall; $26.00 ;Cash;176;Store Pickup;176;Oklahoma;176;Weekly;3.6
177;53;Male;Backpack;Accessories;L;Black;Spring; $69.00 ;Credit Card;177;Express;177;New Hampshire;177;Bi-Weekly;4.8
178;21;Male;Hoodie;Clothing;L;Magenta;Fall; $47.00 ;Venmo;178;Standard;178;Kansas;178;Every 3 Months;4.7
179;61;Male;Skirt;Clothing;L;Lavender;Fall; $62.00 ;Cash;179;Store Pickup;179;Idaho;179;Weekly;3.3
180;64;Male;Boots;Footwear;M;Violet;Fall; $22.00 ;Bank Transfer;180;Free Shipping;180;Illinois;180;Weekly;3.5
181;51;Male;Sandals;Footwear;L;Green;Fall; $81.00 ;Cash;181;Free Shipping;181;South Dakota;181;Every 3 Months;3.8
182;32;Male;Pants;Clothing;M;Beige;Summer; $32.00 ;Bank Transfer;182;Express;182;Massachusetts;182;Every 3 Months;3.8
183;38;Male;Gloves;Accessories;XL;Purple;Summer; $34.00 ;Cash;183;Standard;183;Alabama;183;Every 3 Months;4.4
184;58;Male;Skirt;Clothing;XL;Beige;Spring; $31.00 ;Credit Card;184;Express;184;Ohio;184;Monthly;4.5
185;32;Male;Sneakers;Footwear;L;Cyan;Spring; $75.00 ;Cash;185;2-Day Shipping;185;Hawaii;185;Quarterly;3.2
186;46;Male;T-shirt;Clothing;XL;Silver;Summer; $57.00 ;PayPal;186;Store Pickup;186;Wisconsin;186;Quarterly;4.6
187;39;Male;Backpack;Accessories;S;Lavender;Summer; $82.00 ;Venmo;187;Free Shipping;187;Minnesota;187;Monthly;4.2
188;19;Male;Shoes;Footwear;S;Purple;Spring; $38.00 ;Credit Card;188;Store Pickup;188;Georgia;188;Fortnightly;4.5
189;50;Male;Hoodie;Clothing;M;Pink;Spring; $86.00 ;Debit Card;189;Standard;189;Arkansas;189;Monthly;4.6
190;36;Male;Blouse;Clothing;M;Maroon;Fall; $73.00 ;Cash;190;Free Shipping;190;West Virginia;190;Every 3 Months;5
191;65;Male;Coat;Outerwear;XL;Beige;Fall; $37.00 ;Cash;191;Express;191;Indiana;191;Fortnightly;4.9
192;64;Male;Hat;Accessories;M;Gray;Fall; $51.00 ;PayPal;192;Express;192;Utah;192;Bi-Weekly;2.9
193;46;Male;Shoes;Footwear;L;Turquoise;Summer; $26.00 ;Credit Card;193;Free Shipping;193;Nebraska;193;Quarterly;4
194;36;Male;Belt;Accessories;S;Silver;Fall; $51.00 ;Bank Transfer;194;Standard;194;North Dakota;194;Weekly;2.7
195;51;Male;Backpack;Accessories;M;Olive;Spring; $32.00 ;Venmo;195;Free Shipping;195;Missouri;195;Weekly;4.7
196;51;Male;Jacket;Outerwear;M;Magenta;Fall; $54.00 ;Venmo;196;2-Day Shipping;196;New York;196;Bi-Weekly;4.3
197;38;Male;Boots;Footwear;M;Lavender;Summer; $98.00 ;Debit Card;197;Store Pickup;197;Washington;197;Monthly;2.6
198;59;Male;Scarf;Accessories;M;Black;Fall; $59.00 ;Debit Card;198;Store Pickup;198;South Carolina;198;Quarterly;3.8
199;57;Male;Jewelry;Accessories;M;Turquoise;Winter; $64.00 ;PayPal;199;Store Pickup;199;Utah;199;Quarterly;3.3
200;54;Male;Hat;Accessories;XL;Green;Summer; $89.00 ;Cash;200;Free Shipping;200;Idaho;200;Quarterly;3.7
201;25;Male;Dress;Clothing;S;Teal;Summer; $80.00 ;PayPal;201;2-Day Shipping;201;Pennsylvania;201;Every 3 Months;3.6
202;69;Male;Blouse;Clothing;S;Beige;Fall; $79.00 ;Bank Transfer;202;Store Pickup;202;Missouri;202;Weekly;3.2
203;57;Male;Hat;Accessories;L;Magenta;Spring; $77.00 ;PayPal;203;Store Pickup;203;Nebraska;203;Monthly;4.5
204;70;Male;Scarf;Accessories;S;Yellow;Fall; $33.00 ;Credit Card;204;Standard;204;Indiana;204;Fortnightly;4
