Customer ID;Age;Gender;Item Purchased;Category;Location;Size;Color;Season
67;31;Male;Blouse;Clothing;Pennsylvania;S;Magenta;Winter
68;45;Male;Coat;Outerwear;Connecticut;L;Gray;Winter
69;57;Male;Handbag;Accessories;Utah;L;Silver;Summer
70;48;Male;Belt;Accessories;Tennessee;S;Cyan;Summer
71;22;Male;Belt;Accessories;Alabama;M;Magenta;Fall
72;36;Male;Dress;Clothing;Virginia;L;Gold;Summer
73;18;Male;Dress;Clothing;Georgia;M;Olive;Winter
74;48;Male;Pants;Clothing;Hawaii;M;Teal;Spring
75;49;Male;Gloves;Accessories;Indiana;L;Violet;Spring
76;64;Male;Scarf;Accessories;Utah;M;Blue;Summer
77;50;Male;Hat;Accessories;Delaware;S;Teal;Summer
78;22;Male;Dress;Clothing;Delaware;L;Gold;Summer
79;50;Male;Skirt;Clothing;Nebraska;M;Maroon;Spring
80;38;Male;Jacket;Outerwear;Iowa;M;Olive;Winter
81;19;Male;Sandals;Footwear;New York;XL;Blue;Summer
82;67;Male;Shoes;Footwear;Virginia;L;Maroon;Summer
83;19;Male;Pants;Clothing;Georgia;S;Olive;Spring
84;36;Male;Dress;Clothing;Texas;M;Turquoise;Summer
85;52;Male;Coat;Outerwear;Arizona;S;Peach;Spring
86;53;Male;Sunglasses;Accessories;New Mexico;M;Charcoal;Winter
87;24;Male;Hoodie;Clothing;Nevada;L;Pink;Spring
88;52;Male;Shoes;Footwear;Ohio;M;Green;Fall
89;33;Male;T-shirt;Clothing;Wyoming;M;Orange;Fall
90;47;Male;Jacket;Outerwear;California;XL;Pink;Fall
91;25;Male;Hat;Accessories;South Carolina;L;Violet;Summer
92;44;Male;Scarf;Accessories;South Carolina;S;Green;Winter
93;61;Male;Jacket;Outerwear;Texas;M;Olive;Winter
94;37;Male;Sweater;Clothing;Florida;M;Purple;Fall
95;58;Male;Skirt;Clothing;Nevada;S;Silver;Spring
96;37;Male;Sneakers;Footwear;Missouri;L;Pink;Fall
97;32;Male;Gloves;Accessories;Delaware;S;Gold;Spring
98;21;Male;Shoes;Footwear;Virginia;M;Teal;Winter
99;20;Male;Jeans;Clothing;New York;XL;Teal;Spring
100;26;Male;Hoodie;Clothing;Missouri;XL;Indigo;Summer
101;62;Male;Sunglasses;Accessories;South Dakota;M;Maroon;Fall
102;27;Male;Coat;Outerwear;North Dakota;XL;White;Spring
103;51;Male;Socks;Clothing;Oklahoma;L;Violet;Winter
104;54;Male;Boots;Footwear;West Virginia;L;Red;Winter
105;55;Male;Sunglasses;Accessories;New Hampshire;L;Pink;Spring
106;69;Male;Backpack;Accessories;New York;M;Charcoal;Fall
107;64;Male;Jacket;Outerwear;Minnesota;L;White;Summer
108;28;Male;Sneakers;Footwear;Maryland;L;Olive;Winter
109;70;Male;Socks;Clothing;Montana;L;Purple;Spring
110;58;Male;T-shirt;Clothing;Alabama;M;Violet;Spring
111;56;Male;Backpack;Accessories;New York;M;Black;Summer
112;26;Male;Belt;Accessories;Massachusetts;L;Purple;Summer
113;37;Male;Gloves;Accessories;Florida;M;Red;Spring
114;44;Male;Hat;Accessories;New Jersey;L;Maroon;Winter
115;70;Male;Coat;Outerwear;Massachusetts;S;Blue;Summer
116;53;Male;Skirt;Clothing;Wyoming;M;Gray;Spring
117;55;Male;Shoes;Footwear;Virginia;S;Blue;Spring
118;50;Male;Sandals;Footwear;South Dakota;L;Yellow;Summer
119;50;Male;Sweater;Clothing;Kentucky;L;Orange;Fall
120;38;Male;Coat;Outerwear;Wyoming;M;Orange;Fall
121;64;Male;Hat;Accessories;West Virginia;L;Red;Summer
122;19;Male;Shorts;Clothing;Virginia;M;Olive;Winter
123;40;Male;Backpack;Accessories;Washington;L;Brown;Spring
124;57;Male;Sweater;Clothing;Louisiana;L;Brown;Fall
125;44;Male;Sweater;Clothing;Nevada;M;Gray;Spring
126;49;Male;Shorts;Clothing;California;M;Indigo;Winter
127;43;Male;Shorts;Clothing;Mississippi;L;Pink;Spring
128;24;Male;Sweater;Clothing;Mississippi;M;Gray;Winter
129;20;Male;Scarf;Accessories;California;M;Gold;Spring
130;24;Male;Dress;Clothing;Pennsylvania;XL;Olive;Summer
131;44;Male;Scarf;Accessories;Kentucky;L;Violet;Fall
132;28;Male;Skirt;Clothing;Maine;L;Indigo;Summer
133;30;Male;Backpack;Accessories;New Mexico;M;Orange;Fall
134;52;Male;Sweater;Clothing;Montana;M;Violet;Winter
135;43;Male;Hat;Accessories;Texas;L;Gray;Fall
136;43;Male;Sandals;Footwear;Kansas;M;Purple;Fall
137;39;Male;Blouse;Clothing;South Carolina;M;White;Winter
138;68;Male;Sneakers;Footwear;Colorado;M;Turquoise;Spring
139;68;Male;Skirt;Clothing;Georgia;M;Maroon;Winter
140;49;Male;Coat;Outerwear;Florida;M;White;Fall
141;63;Male;Shirt;Clothing;North Carolina;L;Yellow;Fall
142;56;Male;Gloves;Accessories;Virginia;M;Turquoise;Fall
143;37;Male;Jacket;Outerwear;Nebraska;L;Violet;Fall
144;30;Male;Coat;Outerwear;Missouri;M;Beige;Fall
145;19;Male;Shoes;Footwear;New Jersey;M;Silver;Fall
146;24;Male;Jewelry;Accessories;Missouri;M;Teal;Fall
147;52;Male;Skirt;Clothing;Colorado;S;Black;Fall
148;63;Male;Shoes;Footwear;Idaho;M;Purple;Summer
149;37;Male;Gloves;Accessories;Wyoming;M;Gray;Fall
150;38;Male;Pants;Clothing;Delaware;M;White;Summer
151;35;Male;Boots;Footwear;California;L;Cyan;Fall
152;28;Male;Sunglasses;Accessories;North Dakota;L;Turquoise;Fall
153;30;Male;Shirt;Clothing;South Carolina;S;Brown;Summer
154;69;Male;Hoodie;Clothing;North Carolina;M;Maroon;Winter
155;41;Male;Dress;Clothing;Oklahoma;M;Charcoal;Fall
156;63;Male;Socks;Clothing;Maine;S;Olive;Spring
157;35;Male;Shorts;Clothing;Missouri;M;Lavender;Fall
158;36;Male;Hat;Accessories;Vermont;S;Yellow;Fall
159;25;Male;Shirt;Clothing;Connecticut;XL;Teal;Fall
160;58;Male;Gloves;Accessories;New Hampshire;M;Charcoal;Fall
161;27;Male;Gloves;Accessories;Texas;M;Orange;Summer
162;65;Male;Backpack;Accessories;North Dakota;M;Olive;Fall
163;54;Male;Sunglasses;Accessories;California;M;Turquoise;Summer
164;54;Male;Skirt;Clothing;Virginia;M;Purple;Summer
165;59;Male;Handbag;Accessories;Delaware;S;Purple;Spring
166;42;Male;Handbag;Accessories;Kentucky;S;Yellow;Winter
167;46;Male;Sneakers;Footwear;Delaware;XL;Indigo;Fall
168;33;Male;Gloves;Accessories;Arkansas;M;Green;Fall
169;34;Male;Shoes;Footwear;Louisiana;M;Magenta;Summer
170;27;Male;Jacket;Outerwear;Nevada;S;Gold;Summer
171;52;Male;Shirt;Clothing;Wyoming;M;Maroon;Fall
172;29;Male;Shorts;Clothing;Virginia;M;Blue;Summer
173;54;Male;Jewelry;Accessories;Nebraska;M;Violet;Summer
174;25;Male;Hat;Accessories;Hawaii;M;Turquoise;Fall
175;41;Male;Shoes;Footwear;Vermont;L;Brown;Winter
176;53;Male;Coat;Outerwear;Oklahoma;L;Violet;Fall
177;53;Male;Backpack;Accessories;New Hampshire;L;Black;Spring
178;21;Male;Hoodie;Clothing;Kansas;L;Magenta;Fall
179;61;Male;Skirt;Clothing;Idaho;L;Lavender;Fall
180;64;Male;Boots;Footwear;Illinois;M;Violet;Fall
181;51;Male;Sandals;Footwear;South Dakota;L;Green;Fall
182;32;Male;Pants;Clothing;Massachusetts;M;Beige;Summer
183;38;Male;Gloves;Accessories;Alabama;XL;Purple;Summer
184;58;Male;Skirt;Clothing;Ohio;XL;Beige;Spring
185;32;Male;Sneakers;Footwear;Hawaii;L;Cyan;Spring
186;46;Male;T-shirt;Clothing;Wisconsin;XL;Silver;Summer
187;39;Male;Backpack;Accessories;Minnesota;S;Lavender;Summer
188;19;Male;Shoes;Footwear;Georgia;S;Purple;Spring
189;50;Male;Hoodie;Clothing;Arkansas;M;Pink;Spring
190;36;Male;Blouse;Clothing;West Virginia;M;Maroon;Fall
191;65;Male;Coat;Outerwear;Indiana;XL;Beige;Fall
192;64;Male;Hat;Accessories;Utah;M;Gray;Fall
193;46;Male;Shoes;Footwear;Nebraska;L;Turquoise;Summer
194;36;Male;Belt;Accessories;North Dakota;S;Silver;Fall
195;51;Male;Backpack;Accessories;Missouri;M;Olive;Spring
196;51;Male;Jacket;Outerwear;New York;M;Magenta;Fall
197;38;Male;Boots;Footwear;Washington;M;Lavender;Summer
198;59;Male;Scarf;Accessories;South Carolina;M;Black;Fall
199;57;Male;Jewelry;Accessories;Utah;M;Turquoise;Winter
200;54;Male;Hat;Accessories;Idaho;XL;Green;Summer
201;25;Male;Dress;Clothing;Pennsylvania;S;Teal;Summer
202;69;Male;Blouse;Clothing;Missouri;S;Beige;Fall
203;57;Male;Hat;Accessories;Nebraska;L;Magenta;Spring
204;70;Male;Scarf;Accessories;Indiana;S;Yellow;Fall
205;24;Male;Sneakers;Footwear;Arizona;M;Yellow;Fall
206;67;Male;Shirt;Clothing;Hawaii;M;Silver;Winter
207;24;Male;T-shirt;Clothing;Wisconsin;L;Silver;Summer
208;62;Male;Gloves;Accessories;Rhode Island;M;Silver;Summer
209;57;Male;Skirt;Clothing;Wisconsin;M;Gold;Spring
210;55;Male;Sandals;Footwear;Minnesota;S;Olive;Winter
211;45;Male;Jacket;Outerwear;Vermont;L;Teal;Fall
212;69;Male;Skirt;Clothing;South Dakota;L;Maroon;Fall
213;67;Male;Handbag;Accessories;Virginia;L;Blue;Fall
214;30;Male;Handbag;Accessories;Nevada;L;Peach;Fall
215;24;Male;Jacket;Outerwear;Hawaii;L;Blue;Summer
216;62;Male;Scarf;Accessories;New Jersey;S;Orange;Spring
217;43;Male;Shorts;Clothing;Massachusetts;L;Yellow;Spring
218;35;Male;Sunglasses;Accessories;Oklahoma;M;Purple;Winter
219;28;Male;T-shirt;Clothing;California;S;Magenta;Spring
220;32;Male;Belt;Accessories;Nevada;M;Cyan;Spring
221;39;Male;Sneakers;Footwear;Arizona;S;Indigo;Spring
222;28;Male;Hat;Accessories;North Carolina;XL;Magenta;Summer
223;47;Male;Gloves;Accessories;New York;XL;Gray;Spring
224;20;Male;Pants;Clothing;Wyoming;M;Turquoise;Spring
225;63;Male;Socks;Clothing;South Dakota;S;Beige;Summer
226;25;Male;Jacket;Outerwear;Arkansas;M;Olive;Spring
227;29;Male;Shoes;Footwear;Texas;L;Violet;Spring
228;50;Male;Jeans;Clothing;Rhode Island;M;Turquoise;Winter
229;18;Male;Socks;Clothing;New Hampshire;M;White;Spring
230;70;Male;Sandals;Footwear;Ohio;S;Silver;Spring
231;66;Male;Scarf;Accessories;Utah;L;Olive;Fall
232;28;Male;Blouse;Clothing;Tennessee;M;Blue;Spring
233;54;Male;Jewelry;Accessories;Hawaii;L;Purple;Winter
234;19;Male;Sweater;Clothing;Arizona;XL;Yellow;Fall
235;20;Male;Gloves;Accessories;South Dakota;S;Silver;Summer
236;43;Male;Sunglasses;Accessories;New Jersey;M;Cyan;Winter
237;38;Male;Coat;Outerwear;North Dakota;L;Green;Winter
238;50;Male;Dress;Clothing;Iowa;M;Beige;Summer
239;64;Male;Skirt;Clothing;Ohio;M;Peach;Fall
240;49;Male;Pants;Clothing;Vermont;L;Yellow;Summer
241;47;Male;Sweater;Clothing;Montana;XL;Turquoise;Winter
242;36;Male;Hoodie;Clothing;Delaware;M;Peach;Winter
243;55;Male;Coat;Outerwear;New York;L;Gray;Summer
244;25;Male;Jewelry;Accessories;Kentucky;M;Olive;Winter
245;53;Male;Belt;Accessories;Oregon;S;Indigo;Spring
246;49;Male;Sandals;Footwear;Rhode Island;L;Charcoal;Summer
247;35;Male;Sunglasses;Accessories;Nevada;XL;Beige;Spring
248;29;Male;Sweater;Clothing;Montana;XL;Brown;Spring
249;47;Male;Belt;Accessories;Pennsylvania;M;Blue;Winter
250;53;Male;Handbag;Accessories;Alaska;S;Teal;Fall
251;33;Male;Skirt;Clothing;Mississippi;L;Black;Fall
252;21;Male;Handbag;Accessories;Wyoming;XL;Gold;Winter
253;32;Male;Shorts;Clothing;Delaware;M;Violet;Summer
254;52;Male;Boots;Footwear;Oklahoma;L;Cyan;Winter
255;67;Male;Sunglasses;Accessories;Indiana;M;White;Winter
256;43;Male;Scarf;Accessories;Maryland;M;Charcoal;Spring
257;58;Male;Jewelry;Accessories;South Dakota;XL;Violet;Spring
258;20;Male;Handbag;Accessories;West Virginia;M;Red;Summer
259;61;Male;Gloves;Accessories;Alabama;S;Lavender;Spring
260;32;Male;Jeans;Clothing;Louisiana;M;Gold;Fall
261;38;Male;Hat;Accessories;Montana;S;Red;Winter
262;21;Male;Jeans;Clothing;California;L;Magenta;Winter
263;37;Male;Pants;Clothing;Hawaii;M;Teal;Summer
264;27;Male;Shorts;Clothing;Iowa;M;Purple;Summer
265;36;Male;Pants;Clothing;Colorado;S;Charcoal;Fall
266;32;Male;Backpack;Accessories;Michigan;M;Gray;Spring
267;51;Male;Jewelry;Accessories;Louisiana;L;White;Summer
268;64;Male;Sweater;Clothing;Maryland;M;Olive;Spring
269;68;Male;Shoes;Footwear;Georgia;M;Charcoal;Spring
270;68;Male;Blouse;Clothing;Georgia;M;Charcoal;Winter
271;33;Male;Jeans;Clothing;North Dakota;XL;Orange;Fall
272;65;Male;Sunglasses;Accessories;Maryland;XL;Yellow;Summer
273;48;Male;Jewelry;Accessories;Oregon;M;Beige;Summer
274;69;Male;Coat;Outerwear;North Dakota;S;Silver;Spring
275;59;Male;Jewelry;Accessories;Maryland;M;Indigo;Spring
276;48;Male;Backpack;Accessories;Virginia;XL;Lavender;Winter
277;25;Male;Skirt;Clothing;South Dakota;XL;Turquoise;Fall
278;29;Male;Shirt;Clothing;Georgia;M;Green;Winter
279;57;Male;Sweater;Clothing;Hawaii;M;Orange;Spring
280;23;Male;Sneakers;Footwear;Arkansas;L;Turquoise;Summer
281;45;Male;Sandals;Footwear;Montana;S;Cyan;Fall
282;38;Male;Belt;Accessories;Oklahoma;XL;Charcoal;Spring
283;21;Male;Skirt;Clothing;Minnesota;M;Teal;Summer
284;32;Male;Sweater;Clothing;Montana;S;Maroon;Fall
285;63;Male;Skirt;Clothing;Ohio;M;Red;Summer
286;29;Male;Handbag;Accessories;Kentucky;XL;Yellow;Summer
287;27;Male;Jewelry;Accessories;Nebraska;L;Gray;Summer
288;56;Male;Scarf;Accessories;Delaware;L;Blue;Spring
289;30;Male;T-shirt;Clothing;North Carolina;M;Lavender;Winter
290;49;Male;Coat;Outerwear;New York;M;Yellow;Fall
291;58;Male;T-shirt;Clothing;Colorado;M;Indigo;Winter
292;57;Male;Dress;Clothing;Delaware;XL;Violet;Fall
293;60;Male;Shoes;Footwear;Utah;M;Green;Spring
294;69;Male;Handbag;Accessories;Connecticut;M;White;Spring
295;70;Male;Skirt;Clothing;New Jersey;M;Gold;Spring
296;53;Male;Sunglasses;Accessories;West Virginia;M;Indigo;Winter
297;25;Male;Sandals;Footwear;Indiana;S;Lavender;Spring
298;48;Male;Shoes;Footwear;Delaware;XL;Purple;Summer
299;69;Male;T-shirt;Clothing;Maryland;M;Lavender;Winter
300;25;Male;Sneakers;Footwear;Pennsylvania;M;Maroon;Summer
301;29;Male;Hat;Accessories;Iowa;M;Teal;Spring
302;46;Male;Skirt;Clothing;Pennsylvania;M;Green;Spring
303;37;Male;Sweater;Clothing;Delaware;L;Olive;Summer
304;20;Male;Sandals;Footwear;Oregon;M;Turquoise;Summer
305;40;Male;Dress;Clothing;Oregon;M;Green;Winter
306;60;Male;Sweater;Clothing;Utah;M;Teal;Fall
307;26;Male;Jacket;Outerwear;North Dakota;S;White;Summer
308;29;Male;Gloves;Accessories;Florida;M;Orange;Winter
309;66;Male;Handbag;Accessories;Maryland;M;Beige;Fall
310;66;Male;Dress;Clothing;Minnesota;M;Yellow;Spring
311;56;Male;Pants;Clothing;Montana;M;Charcoal;Winter
312;69;Male;Jeans;Clothing;Rhode Island;L;Silver;Winter
313;38;Male;Pants;Clothing;Massachusetts;L;Green;Spring
314;42;Male;Dress;Clothing;Vermont;M;Pink;Spring
315;30;Male;Pants;Clothing;New Jersey;M;Purple;Summer
316;66;Male;Jewelry;Accessories;Wisconsin;XL;Orange;Spring
317;36;Male;Handbag;Accessories;California;M;Charcoal;Fall
318;58;Male;Sweater;Clothing;West Virginia;L;Teal;Fall
319;45;Male;Backpack;Accessories;South Dakota;M;Beige;Winter
320;47;Male;Shorts;Clothing;Maine;XL;White;Spring
321;66;Male;Jewelry;Accessories;Kansas;L;White;Summer
322;41;Male;Sneakers;Footwear;Vermont;L;Orange;Summer
323;41;Male;Belt;Accessories;Tennessee;S;Cyan;Winter
324;66;Male;Hoodie;Clothing;Tennessee;M;Orange;Winter
325;37;Male;Shirt;Clothing;Wyoming;M;Olive;Summer
326;70;Male;Pants;Clothing;Vermont;M;Charcoal;Winter
327;62;Male;Scarf;Accessories;New Jersey;M;White;Fall
328;61;Male;Coat;Outerwear;Iowa;M;Teal;Summer
329;48;Male;Coat;Outerwear;Florida;M;Yellow;Fall
330;70;Male;Socks;Clothing;Nevada;S;White;Summer
331;46;Male;Sweater;Clothing;North Dakota;M;Beige;Winter
332;31;Male;Shirt;Clothing;Florida;L;Beige;Fall
333;19;Male;Shirt;Clothing;New York;M;Maroon;Winter
334;39;Male;Sweater;Clothing;Alaska;M;Teal;Winter
335;41;Male;Blouse;Clothing;Kansas;M;Lavender;Fall
336;20;Male;Sweater;Clothing;Oregon;L;Maroon;Spring
337;36;Male;Hat;Accessories;Rhode Island;S;Orange;Fall
338;32;Male;Sweater;Clothing;New Mexico;M;Cyan;Winter
339;69;Male;Hoodie;Clothing;Massachusetts;M;Silver;Winter
340;40;Male;Shorts;Clothing;Pennsylvania;M;Teal;Spring
341;40;Male;Shorts;Clothing;New Jersey;L;Blue;Summer
342;20;Male;Hat;Accessories;Utah;S;Blue;Summer
343;64;Male;Coat;Outerwear;Kentucky;M;Olive;Spring
344;27;Male;Sandals;Footwear;Nebraska;M;Purple;Summer
345;24;Male;Skirt;Clothing;Virginia;M;Charcoal;Winter
346;48;Male;Shoes;Footwear;Wyoming;S;Olive;Winter
347;49;Male;Jeans;Clothing;New Mexico;L;Violet;Spring
348;36;Male;Sandals;Footwear;Oregon;L;Red;Fall
349;56;Male;Blouse;Clothing;South Carolina;M;Beige;Fall
350;37;Male;Hat;Accessories;Arizona;M;Green;Winter
351;42;Male;Sweater;Clothing;Kentucky;M;Violet;Spring
352;28;Male;Skirt;Clothing;New York;M;Teal;Winter
353;27;Male;Jeans;Clothing;Texas;XL;Yellow;Fall
354;63;Male;Sneakers;Footwear;Missouri;L;Yellow;Fall
355;58;Male;Jewelry;Accessories;Pennsylvania;S;Olive;Fall
356;37;Male;Jewelry;Accessories;Oregon;XL;Magenta;Fall
357;56;Male;Pants;Clothing;Nevada;L;Black;Spring
358;18;Male;Belt;Accessories;Arkansas;M;Olive;Spring
359;48;Male;Hat;Accessories;Minnesota;XL;Magenta;Summer
360;31;Male;Sneakers;Footwear;Georgia;M;Olive;Winter
361;51;Male;Pants;Clothing;Rhode Island;M;Teal;Summer
362;65;Male;T-shirt;Clothing;Nevada;M;White;Spring
363;53;Male;Sneakers;Footwear;Texas;M;Charcoal;Fall
364;55;Male;Shorts;Clothing;Florida;L;Yellow;Winter
365;62;Male;Shoes;Footwear;North Dakota;L;Charcoal;Summer
366;55;Male;Gloves;Accessories;West Virginia;XL;Gray;Summer
367;64;Male;Socks;Clothing;Nebraska;M;Turquoise;Spring
368;52;Male;Dress;Clothing;Tennessee;XL;Cyan;Spring
369;24;Male;Handbag;Accessories;Oklahoma;M;Charcoal;Spring
370;38;Male;Belt;Accessories;Wisconsin;M;Silver;Summer
371;59;Male;Scarf;Accessories;Oregon;M;Olive;Winter
372;27;Male;Sneakers;Footwear;North Carolina;S;Pink;Winter
373;24;Male;Sweater;Clothing;Pennsylvania;L;Orange;Summer
374;23;Male;Coat;Outerwear;North Dakota;L;White;Summer
375;69;Male;Jewelry;Accessories;Ohio;S;Purple;Spring
376;59;Male;Sunglasses;Accessories;Oklahoma;M;Olive;Summer
377;51;Male;Shoes;Footwear;South Carolina;S;Gray;Fall
378;63;Male;Scarf;Accessories;Maine;M;Silver;Spring
379;54;Male;Dress;Clothing;Nevada;L;Orange;Winter
380;32;Male;T-shirt;Clothing;Montana;S;Magenta;Fall
381;39;Male;Backpack;Accessories;New Hampshire;XL;Beige;Fall
382;66;Male;Jewelry;Accessories;Maine;L;Lavender;Winter
383;28;Male;Jeans;Clothing;California;M;Peach;Winter
384;50;Male;Sunglasses;Accessories;West Virginia;S;Magenta;Fall
385;70;Male;Sweater;Clothing;California;M;Beige;Fall
386;67;Male;Shorts;Clothing;West Virginia;S;Yellow;Fall
387;64;Male;Jewelry;Accessories;Louisiana;L;Brown;Spring
388;45;Male;Coat;Outerwear;Georgia;L;Silver;Summer
389;22;Male;Handbag;Accessories;Washington;M;Orange;Summer
390;27;Male;Boots;Footwear;Virginia;L;Purple;Spring
391;25;Male;Gloves;Accessories;Indiana;M;Indigo;Winter
392;37;Male;Sweater;Clothing;Minnesota;L;Gray;Spring
393;26;Male;T-shirt;Clothing;Idaho;XL;Black;Spring
394;33;Male;Shoes;Footwear;Vermont;L;Maroon;Fall
395;43;Male;Scarf;Accessories;North Dakota;M;Beige;Spring
396;37;Male;Sneakers;Footwear;Rhode Island;L;Brown;Winter
397;46;Male;Dress;Clothing;South Carolina;S;Black;Fall
398;22;Male;Belt;Accessories;Mississippi;M;Indigo;Fall
399;20;Male;Boots;Footwear;Montana;S;Silver;Winter
400;60;Male;Scarf;Accessories;Idaho;L;Blue;Fall
401;39;Male;Boots;Footwear;Utah;M;Green;Winter
402;43;Male;T-shirt;Clothing;Oklahoma;L;Orange;Fall
403;31;Male;Backpack;Accessories;California;L;Cyan;Fall
404;19;Male;Sneakers;Footwear;Nevada;M;Orange;Winter
405;35;Male;T-shirt;Clothing;Delaware;M;Indigo;Spring
406;41;Male;Jeans;Clothing;South Carolina;S;Silver;Summer
407;52;Male;Gloves;Accessories;Maryland;M;Peach;Spring
408;45;Male;Hoodie;Clothing;North Carolina;XL;Teal;Spring
409;34;Male;Sneakers;Footwear;Alabama;L;White;Spring
410;35;Male;Shorts;Clothing;Minnesota;M;Brown;Winter
411;29;Male;Sweater;Clothing;Virginia;L;Lavender;Spring
412;59;Male;Jeans;Clothing;Michigan;M;Indigo;Summer
413;24;Male;Jacket;Outerwear;Maine;M;Yellow;Summer
414;70;Male;Jewelry;Accessories;Nevada;S;White;Summer
415;29;Male;Backpack;Accessories;Wyoming;L;Violet;Winter
416;67;Male;Coat;Outerwear;Connecticut;M;Lavender;Winter
417;36;Male;Belt;Accessories;Oregon;L;Olive;Spring
418;23;Male;Sandals;Footwear;Mississippi;L;Beige;Fall
419;18;Male;Sweater;Clothing;Illinois;L;Purple;Spring
420;53;Male;Shorts;Clothing;Utah;S;Teal;Winter
421;32;Male;Socks;Clothing;North Carolina;S;Peach;Spring
422;38;Male;Shirt;Clothing;Kentucky;M;Violet;Winter
423;47;Male;Pants;Clothing;Minnesota;M;Purple;Fall
424;46;Male;Scarf;Accessories;New York;L;Teal;Spring
