Transaction_ID;Purchase_Amount__USD_;Payment_Method;Review_Rating
79; $69.00 ;Bank Transfer;3.4
80; $73.00 ;Bank Transfer;4.1
81; $37.00 ;PayPal;4.7
82; $68.00 ;Cash;4.1
83; $71.00 ;Bank Transfer;4.4
84; $45.00 ;Bank Transfer;2.5
85; $69.00 ;Credit Card;2.7
86; $56.00 ;Venmo;3.2
87; $92.00 ;Venmo;4.2
88; $69.00 ;Debit Card;2.5
89; $68.00 ;PayPal;4.5
90; $95.00 ;Bank Transfer;3.7
91; $36.00 ;Venmo;4.1
92; $100.00 ;Bank Transfer;3.1
93; $33.00 ;Cash;3.0
94; $78.00 ;Venmo;3.5
95; $71.00 ;PayPal;3.2
96; $59.00 ;Credit Card;2.5
97; $76.00 ;Bank Transfer;4.7
98; $80.00 ;Venmo;3.0
99; $53.00 ;Venmo;3.4
100; $41.00 ;PayPal;4.0
101; $52.00 ;Credit Card;4.6
102; $47.00 ;Cash;2.9
103; $52.00 ;PayPal;3.7
104; $56.00 ;Credit Card;4.9
105; $78.00 ;Bank Transfer;3.1
106; $93.00 ;Cash;3.9
107; $36.00 ;Credit Card;4.4
108; $32.00 ;PayPal;3.1
109; $95.00 ;Venmo;4.6
110; $66.00 ;Cash;2.7
111; $98.00 ;Debit Card;4.3
112; $48.00 ;Debit Card;4.3
113; $79.00 ;Venmo;2.7
114; $59.00 ;Bank Transfer;3.0
115; $78.00 ;Bank Transfer;4.4
116; $91.00 ;Debit Card;2.6
117; $88.00 ;Venmo;2.7
118; $25.00 ;Venmo;3.8
119; $64.00 ;Credit Card;4.4
120; $54.00 ;Credit Card;3.3
121; $40.00 ;PayPal;2.9
122; $20.00 ;PayPal;3.0
123; $94.00 ;Cash;4.6
124; $80.00 ;Debit Card;4.6
125; $41.00 ;Cash;3.1
126; $37.00 ;Cash;4.1
127; $81.00 ;PayPal;4.5
128; $68.00 ;Venmo;3.2
129; $64.00 ;Bank Transfer;3.5
130; $38.00 ;Bank Transfer;2.5
131; $43.00 ;Credit Card;2.6
132; $76.00 ;Debit Card;3.6
133; $47.00 ;Bank Transfer;4.5
134; $38.00 ;Venmo;4.3
135; $68.00 ;Venmo;2.6
136; $38.00 ;Credit Card;3.5
137; $98.00 ;Debit Card;4.7
138; $28.00 ;Venmo;3.5
139; $66.00 ;Bank Transfer;4.8
140; $39.00 ;Cash;3.6
141; $54.00 ;Venmo;2.8
142; $62.00 ;Debit Card;4.4
143; $57.00 ;Credit Card;3.9
144; $35.00 ;Credit Card;4.3
145; $55.00 ;Debit Card;5.0
146; $37.00 ;Credit Card;4.2
147; $74.00 ;Credit Card;4.4
148; $75.00 ;Debit Card;4.6
149; $31.00 ;Credit Card;3.4
150; $56.00 ;PayPal;3.2
151; $68.00 ;Credit Card;4.4
152; $40.00 ;Cash;2.7
153; $90.00 ;Debit Card;2.7
154; $78.00 ;Debit Card;3.7
155; $36.00 ;Debit Card;3.8
156; $86.00 ;Debit Card;5.0
157; $89.00 ;Venmo;4.0
158; $23.00 ;Venmo;3.9
159; $25.00 ;Cash;3.8
160; $33.00 ;Bank Transfer;2.9
161; $48.00 ;Cash;3.2
162; $82.00 ;Venmo;3.4
163; $68.00 ;PayPal;4.5
164; $72.00 ;Credit Card;3.2
165; $47.00 ;Venmo;3.6
166; $23.00 ;Bank Transfer;4.5
167; $38.00 ;PayPal;4.8
168; $95.00 ;Venmo;4.7
169; $64.00 ;Bank Transfer;4.1
170; $94.00 ;PayPal;5.0
171; $75.00 ;Credit Card;3.5
172; $51.00 ;Cash;2.6
173; $68.00 ;Debit Card;3.0
174; $64.00 ;Cash;2.9
175; $58.00 ;Credit Card;4.0
176; $26.00 ;Cash;3.6
177; $69.00 ;Credit Card;4.8
178; $47.00 ;Venmo;4.7
179; $62.00 ;Cash;3.3
180; $22.00 ;Bank Transfer;3.5
181; $81.00 ;Cash;3.8
182; $32.00 ;Bank Transfer;3.8
183; $34.00 ;Cash;4.4
184; $31.00 ;Credit Card;4.5
185; $75.00 ;Cash;3.2
186; $57.00 ;PayPal;4.6
187; $82.00 ;Venmo;4.2
188; $38.00 ;Credit Card;4.5
189; $86.00 ;Debit Card;4.6
190; $73.00 ;Cash;5.0
191; $37.00 ;Cash;4.9
192; $51.00 ;PayPal;2.9
193; $26.00 ;Credit Card;4.0
194; $51.00 ;Bank Transfer;2.7
195; $32.00 ;Venmo;4.7
196; $54.00 ;Venmo;4.3
197; $98.00 ;Debit Card;2.6
198; $59.00 ;Debit Card;3.8
199; $64.00 ;PayPal;3.3
200; $89.00 ;Cash;3.7
201; $80.00 ;PayPal;3.6
202; $79.00 ;Bank Transfer;3.2
203; $77.00 ;PayPal;4.5
204; $33.00 ;Credit Card;4.0
205; $22.00 ;Bank Transfer;4.5
206; $22.00 ;Bank Transfer;5.0
207; $52.00 ;Debit Card;4.6
208; $55.00 ;Bank Transfer;3.6
209; $48.00 ;PayPal;2.5
210; $91.00 ;Venmo;3.0
211; $76.00 ;PayPal;3.0
212; $49.00 ;Credit Card;3.3
213; $99.00 ;PayPal;3.4
214; $58.00 ;PayPal;4.9
215; $79.00 ;PayPal;4.8
216; $95.00 ;Cash;4.0
217; $79.00 ;Credit Card;3.0
218; $98.00 ;Cash;2.6
219; $38.00 ;Cash;3.3
220; $83.00 ;PayPal;4.5
221; $40.00 ;Bank Transfer;3.8
222; $85.00 ;Credit Card;3.7
223; $83.00 ;PayPal;3.3
224; $57.00 ;Bank Transfer;3.7
225; $88.00 ;PayPal;4.1
226; $43.00 ;Bank Transfer;4.2
227; $35.00 ;PayPal;3.0
228; $81.00 ;Bank Transfer;2.8
229; $67.00 ;Bank Transfer;4.9
230; $73.00 ;Cash;4.7
231; $73.00 ;Bank Transfer;4.6
232; $80.00 ;Cash;3.0
233; $37.00 ;PayPal;4.8
234; $52.00 ;Credit Card;3.2
235; $95.00 ;Debit Card;2.9
236; $80.00 ;Bank Transfer;3.9
237; $41.00 ;Bank Transfer;4.0
238; $50.00 ;Cash;3.4
239; $33.00 ;Venmo;3.5
240; $33.00 ;Debit Card;2.8
241; $69.00 ;Credit Card;4.6
242; $39.00 ;Bank Transfer;3.2
243; $90.00 ;Venmo;4.8
244; $36.00 ;Venmo;4.0
245; $58.00 ;Bank Transfer;4.7
246; $20.00 ;Credit Card;3.7
247; $55.00 ;Debit Card;3.3
248; $20.00 ;Debit Card;4.3
249; $79.00 ;Venmo;4.2
250; $70.00 ;Cash;4.9
251; $50.00 ;Bank Transfer;4.2
252; $82.00 ;Bank Transfer;3.7
253; $93.00 ;Bank Transfer;3.8
254; $63.00 ;PayPal;4.8
255; $55.00 ;Bank Transfer;2.7
256; $24.00 ;Credit Card;3.9
257; $97.00 ;PayPal;3.0
258; $44.00 ;Cash;2.8
259; $69.00 ;Debit Card;3.1
260; $94.00 ;PayPal;3.8
261; $53.00 ;Cash;4.0
262; $60.00 ;PayPal;2.8
263; $38.00 ;PayPal;2.5
264; $56.00 ;Debit Card;3.6
265; $63.00 ;Cash;2.6
266; $59.00 ;Cash;4.4
267; $78.00 ;Venmo;4.3
268; $100.00 ;Credit Card;3.2
269; $95.00 ;PayPal;4.9
270; $86.00 ;Credit Card;2.6
271; $31.00 ;Cash;4.3
272; $97.00 ;PayPal;4.4
273; $74.00 ;Credit Card;2.9
274; $26.00 ;Debit Card;4.8
275; $54.00 ;Credit Card;4.2
276; $64.00 ;PayPal;3.1
277; $84.00 ;Debit Card;3.2
278; $94.00 ;Venmo;4.1
279; $45.00 ;Bank Transfer;3.3
280; $73.00 ;PayPal;3.2
281; $84.00 ;Credit Card;3.8
282; $90.00 ;Credit Card;3.6
283; $29.00 ;PayPal;3.9
284; $56.00 ;Venmo;4.5
285; $95.00 ;Bank Transfer;4.6
286; $63.00 ;Venmo;4.8
287; $33.00 ;Bank Transfer;4.6
288; $66.00 ;Bank Transfer;4.7
289; $41.00 ;PayPal;4.4
290; $29.00 ;Venmo;3.2
291; $51.00 ;Credit Card;4.9
292; $70.00 ;Bank Transfer;4.1
293; $72.00 ;Cash;2.7
294; $38.00 ;PayPal;3.5
295; $21.00 ;Debit Card;3.4
296; $47.00 ;PayPal;2.7
297; $42.00 ;Venmo;3.4
298; $80.00 ;Venmo;4.7
299; $25.00 ;PayPal;3.7
300; $20.00 ;Cash;4.6
301; $100.00 ;Venmo;4.5
302; $40.00 ;PayPal;2.6
303; $51.00 ;Debit Card;3.8
304; $23.00 ;Debit Card;3.4
305; $79.00 ;Debit Card;4.9
306; $64.00 ;Bank Transfer;4.9
307; $76.00 ;PayPal;4.3
308; $60.00 ;Credit Card;3.6
309; $36.00 ;Cash;3.5
310; $57.00 ;Debit Card;3.1
311; $91.00 ;Venmo;3.0
312; $80.00 ;Credit Card;4.8
313; $49.00 ;Bank Transfer;4.5
314; $51.00 ;Bank Transfer;2.6
315; $24.00 ;Venmo;4.5
316; $93.00 ;Venmo;4.1
317; $32.00 ;Debit Card;4.1
318; $79.00 ;Credit Card;2.7
319; $59.00 ;Credit Card;3.1
320; $39.00 ;Venmo;4.1
321; $57.00 ;Venmo;4.7
322; $75.00 ;Bank Transfer;4.9
323; $22.00 ;Credit Card;4.0
324; $56.00 ;Bank Transfer;4.0
325; $41.00 ;Cash;3.4
326; $69.00 ;Bank Transfer;4.5
327; $69.00 ;Venmo;4.9
328; $96.00 ;Debit Card;2.7
329; $47.00 ;Cash;2.6
330; $37.00 ;Debit Card;4.6
331; $62.00 ;Debit Card;2.9
332; $70.00 ;Credit Card;4.4
333; $28.00 ;Debit Card;4.2
334; $62.00 ;PayPal;3.9
335; $33.00 ;Credit Card;4.5
336; $29.00 ;Debit Card;4.6
337; $33.00 ;Cash;4.5
338; $29.00 ;Bank Transfer;3.0
339; $89.00 ;Cash;4.9
340; $36.00 ;Debit Card;2.7
341; $52.00 ;Venmo;4.9
342; $27.00 ;Debit Card;4.6
343; $98.00 ;Credit Card;3.1
344; $50.00 ;Credit Card;3.7
345; $36.00 ;Credit Card;4.7
346; $53.00 ;Bank Transfer;4.9
347; $58.00 ;Credit Card;2.6
348; $51.00 ;Credit Card;2.9
349; $86.00 ;Venmo;4.3
350; $23.00 ;Cash;3.3
351; $98.00 ;Credit Card;3.3
352; $31.00 ;Debit Card;3.3
353; $86.00 ;Cash;4.9
354; $21.00 ;Venmo;3.0
355; $48.00 ;Venmo;3.6
356; $81.00 ;Credit Card;4.9
357; $20.00 ;Cash;3.4
358; $99.00 ;Credit Card;3.2
359; $100.00 ;Credit Card;3.9
360; $26.00 ;Venmo;4.0
361; $91.00 ;Credit Card;2.9
362; $24.00 ;Debit Card;2.7
363; $34.00 ;Debit Card;4.6
364; $34.00 ;PayPal;3.8
365; $38.00 ;Venmo;4.0
366; $79.00 ;Cash;4.8
367; $35.00 ;PayPal;2.6
368; $60.00 ;PayPal;4.5
369; $68.00 ;PayPal;4.7
370; $81.00 ;PayPal;4.1
371; $86.00 ;Debit Card;2.8
372; $88.00 ;Venmo;3.0
373; $23.00 ;PayPal;4.2
374; $39.00 ;Cash;3.9
375; $85.00 ;Credit Card;3.8
376; $93.00 ;Bank Transfer;3.9
377; $71.00 ;Credit Card;4.1
378; $78.00 ;Venmo;3.0
379; $65.00 ;Debit Card;4.5
380; $31.00 ;Cash;4.3
381; $45.00 ;Bank Transfer;2.6
382; $29.00 ;PayPal;3.4
383; $68.00 ;PayPal;4.8
384; $85.00 ;Bank Transfer;2.6
385; $37.00 ;PayPal;4.1
386; $85.00 ;Cash;4.4
387; $28.00 ;Credit Card;2.8
388; $97.00 ;Debit Card;3.2
389; $59.00 ;Bank Transfer;3.6
390; $85.00 ;Bank Transfer;3.3
391; $70.00 ;Debit Card;3.3
392; $100.00 ;Cash;2.7
393; $64.00 ;Cash;3.1
394; $31.00 ;Venmo;4.9
395; $63.00 ;Debit Card;3.2
396; $91.00 ;Cash;2.5
397; $92.00 ;Cash;2.8
398; $62.00 ;Credit Card;3.1
399; $95.00 ;Credit Card;4.6
400; $73.00 ;Debit Card;3.1
401; $25.00 ;Bank Transfer;4.4
402; $45.00 ;Bank Transfer;3.4
403; $83.00 ;Venmo;3.9
404; $51.00 ;Cash;4.4
405; $45.00 ;Cash;2.9
406; $75.00 ;Credit Card;4.2
407; $63.00 ;PayPal;4.9
408; $31.00 ;Bank Transfer;3.4
409; $87.00 ;Cash;4.4
410; $70.00 ;Debit Card;2.6
411; $94.00 ;PayPal;3.3
412; $68.00 ;Credit Card;3.6
413; $30.00 ;Venmo;3.4
414; $91.00 ;Bank Transfer;4.1
415; $58.00 ;Venmo;2.6
416; $50.00 ;Cash;3.8
417; $28.00 ;Debit Card;3.5
418; $93.00 ;Venmo;2.7
419; $53.00 ;Venmo;2.8
420; $43.00 ;PayPal;4.6
421; $75.00 ;Venmo;4.0
422; $45.00 ;PayPal;3.0
423; $80.00 ;Bank Transfer;3.9
424; $67.00 ;Venmo;4.1
425; $25.00 ;PayPal;4.5
426; $29.00 ;Debit Card;3.5
427; $44.00 ;Debit Card;2.6
428; $66.00 ;Credit Card;3.9
429; $63.00 ;Bank Transfer;3.3
430; $60.00 ;Debit Card;3.4
431; $94.00 ;Credit Card;3.5
432; $45.00 ;Bank Transfer;4.3
433; $32.00 ;PayPal;4.3
434; $87.00 ;Credit Card;5.0
435; $32.00 ;PayPal;3.5
436; $35.00 ;Debit Card;2.6
437; $90.00 ;Cash;3.7
438; $24.00 ;PayPal;2.8
439; $25.00 ;Venmo;2.6
440; $69.00 ;Bank Transfer;3.2
441; $43.00 ;Credit Card;2.9
442; $68.00 ;Cash;4.4
443; $47.00 ;Debit Card;2.5
444; $56.00 ;Bank Transfer;3.4
445; $22.00 ;Bank Transfer;4.6
446; $45.00 ;Debit Card;4.4
447; $82.00 ;PayPal;4.4
448; $63.00 ;PayPal;3.6
449; $24.00 ;Cash;3.2
450; $36.00 ;Venmo;3.1
451; $74.00 ;Venmo;2.6
452; $75.00 ;Venmo;4.9
453; $80.00 ;Debit Card;4.4
454; $82.00 ;Credit Card;2.7
455; $56.00 ;PayPal;3.2
456; $96.00 ;Venmo;2.8
457; $23.00 ;PayPal;2.8
458; $73.00 ;Cash;3.5
459; $80.00 ;Bank Transfer;4.6
460; $33.00 ;Cash;3.6
461; $86.00 ;Debit Card;4.3
462; $44.00 ;Venmo;4.7
463; $23.00 ;Debit Card;3.9
464; $90.00 ;Debit Card;4.4
465; $89.00 ;Bank Transfer;3.4
466; $78.00 ;Cash;4.8
467; $38.00 ;Bank Transfer;2.7
468; $79.00 ;Cash;3.5
469; $92.00 ;Credit Card;4.7
470; $88.00 ;Venmo;3.4
471; $58.00 ;Credit Card;2.6
472; $97.00 ;Cash;5.0
473; $75.00 ;Credit Card;4.0
474; $83.00 ;Credit Card;3.5
475; $64.00 ;Bank Transfer;3.1
476; $70.00 ;PayPal;4.9
477; $72.00 ;Cash;4.2
478; $37.00 ;Venmo;4.4
479; $83.00 ;PayPal;4.7
480; $26.00 ;Venmo;2.7
481; $60.00 ;Debit Card;3.0
482; $29.00 ;Debit Card;4.7
483; $97.00 ;Bank Transfer;3.2
484; $63.00 ;Venmo;2.9
485; $36.00 ;Credit Card;4.0
486; $91.00 ;Cash;3.2
487; $38.00 ;Cash;2.9
488; $53.00 ;Credit Card;4.4
489; $98.00 ;Venmo;3.1
490; $38.00 ;Debit Card;3.7
491; $71.00 ;Credit Card;3.0
492; $48.00 ;PayPal;4.2
493; $21.00 ;Venmo;2.8
494; $44.00 ;Cash;4.2
495; $32.00 ;Credit Card;3.0
496; $57.00 ;Debit Card;3.5
497; $48.00 ;Cash;4.3
498; $85.00 ;Venmo;3.7
499; $25.00 ;Venmo;3.6
500; $90.00 ;Cash;4.4
501; $81.00 ;Venmo;2.7
502; $22.00 ;Bank Transfer;3.6
503; $83.00 ;Venmo;3.7
504; $63.00 ;Debit Card;4.3
505; $73.00 ;Debit Card;3.8
506; $57.00 ;Bank Transfer;4.8
507; $46.00 ;Credit Card;2.8
508; $51.00 ;Venmo;2.9
509; $65.00 ;PayPal;3.6
510; $91.00 ;PayPal;3.4
511; $38.00 ;Credit Card;3.3
512; $80.00 ;Venmo;3.6
513; $54.00 ;Cash;3.6
514; $85.00 ;Debit Card;4.9
515; $79.00 ;Cash;4.7
516; $59.00 ;Cash;3.5
517; $76.00 ;Credit Card;3.0
518; $44.00 ;Credit Card;4.3
519; $32.00 ;PayPal;4.6
520; $80.00 ;Debit Card;3.8
521; $42.00 ;Cash;4.3
522; $28.00 ;Venmo;3.4
523; $25.00 ;Debit Card;3.5
524; $29.00 ;Debit Card;3.7
525; $69.00 ;Bank Transfer;2.8
526; $32.00 ;Cash;3.5
527; $30.00 ;Venmo;4.9
528; $89.00 ;PayPal;3.0
529; $87.00 ;Debit Card;4.0
530; $87.00 ;Debit Card;3.1
531; $60.00 ;Venmo;4.2
532; $59.00 ;Cash;3.4
533; $61.00 ;Venmo;4.4
534; $57.00 ;Debit Card;2.6
535; $35.00 ;Credit Card;3.9
536; $90.00 ;PayPal;3.9
537; $80.00 ;Debit Card;3.9
538; $43.00 ;Venmo;4.6
539; $70.00 ;Debit Card;4.1
540; $24.00 ;Venmo;4.1
541; $59.00 ;Bank Transfer;3.6
542; $91.00 ;Venmo;4.2
543; $25.00 ;Venmo;2.6
544; $28.00 ;Venmo;4.6
545; $51.00 ;Venmo;3.8
546; $66.00 ;Bank Transfer;2.9
547; $96.00 ;Bank Transfer;3.2
548; $58.00 ;PayPal;3.4
549; $94.00 ;Debit Card;4.1
550; $59.00 ;Bank Transfer;4.4
551; $92.00 ;Cash;2.7
552; $78.00 ;Bank Transfer;5.0
553; $61.00 ;Debit Card;3.0
554; $69.00 ;Venmo;3.8
555; $68.00 ;PayPal;4.0
556; $76.00 ;Bank Transfer;4.6
557; $26.00 ;PayPal;3.1
558; $31.00 ;Debit Card;4.6
559; $34.00 ;Venmo;4.8
560; $53.00 ;Cash;3.0
561; $88.00 ;Venmo;4.9
562; $53.00 ;Debit Card;3.8
563; $67.00 ;Debit Card;2.5
564; $93.00 ;Venmo;2.7
565; $74.00 ;Bank Transfer;4.2
566; $56.00 ;Cash;2.8
567; $63.00 ;Venmo;4.4
568; $21.00 ;Bank Transfer;2.7
569; $25.00 ;Bank Transfer;4.2
570; $42.00 ;Bank Transfer;4.0
571; $57.00 ;Debit Card;3.5
572; $92.00 ;Venmo;2.9
573; $35.00 ;PayPal;2.9
574; $53.00 ;Debit Card;2.9
575; $53.00 ;PayPal;4.5
576; $57.00 ;Credit Card;2.9
577; $96.00 ;Credit Card;4.0
578; $91.00 ;Venmo;4.1
579; $34.00 ;Credit Card;3.4
580; $85.00 ;Debit Card;3.4
581; $79.00 ;Venmo;4.1
582; $38.00 ;Credit Card;2.9
583; $82.00 ;Bank Transfer;4.1
584; $91.00 ;Cash;4.0
585; $77.00 ;Cash;2.5
586; $32.00 ;Bank Transfer;4.5
587; $89.00 ;Debit Card;3.5
588; $95.00 ;Bank Transfer;4.1
589; $64.00 ;Credit Card;4.1
590; $76.00 ;Cash;4.4
591; $94.00 ;Bank Transfer;4.2
592; $35.00 ;PayPal;3.8
593; $59.00 ;Bank Transfer;2.7
594; $36.00 ;Debit Card;4.6
595; $29.00 ;Credit Card;3.0
596; $88.00 ;PayPal;3.7
597; $20.00 ;PayPal;4.4
598; $71.00 ;Debit Card;3.3
599; $69.00 ;PayPal;3.0
600; $50.00 ;Credit Card;3.6
601; $90.00 ;Credit Card;4.2
602; $20.00 ;PayPal;4.7
603; $100.00 ;Cash;2.9
604; $79.00 ;Bank Transfer;2.5
605; $75.00 ;Debit Card;2.6
606; $50.00 ;PayPal;4.0
607; $42.00 ;Cash;3.3
608; $32.00 ;Venmo;3.6
609; $93.00 ;PayPal;2.6
610; $53.00 ;Bank Transfer;3.2
611; $30.00 ;Bank Transfer;3.1
612; $30.00 ;Bank Transfer;4.6
613; $64.00 ;Bank Transfer;3.9
614; $69.00 ;Venmo;3.1
615; $98.00 ;PayPal;2.7
616; $42.00 ;Cash;4.0
617; $76.00 ;PayPal;3.6
618; $22.00 ;Credit Card;2.6
619; $36.00 ;Bank Transfer;2.6
620; $34.00 ;PayPal;3.8
621; $29.00 ;PayPal;3.7
622; $77.00 ;Debit Card;2.7
623; $89.00 ;Credit Card;4.5
624; $84.00 ;PayPal;4.9
625; $93.00 ;Bank Transfer;3.1
626; $65.00 ;Cash;4.9
627; $89.00 ;Venmo;3.9
628; $39.00 ;Bank Transfer;3.9
629; $28.00 ;PayPal;4.7
630; $68.00 ;Bank Transfer;4.7
631; $34.00 ;PayPal;3.1
632; $25.00 ;Venmo;4.2
633; $37.00 ;Debit Card;4.9
634; $37.00 ;PayPal;4.5
635; $83.00 ;Bank Transfer;2.9
636; $69.00 ;Debit Card;4.2
637; $67.00 ;Credit Card;3.9
638; $60.00 ;Venmo;4.2
639; $61.00 ;Cash;4.5
640; $54.00 ;Credit Card;3.0
641; $88.00 ;Cash;4.2
642; $21.00 ;Venmo;4.4
643; $58.00 ;PayPal;3.1
644; $42.00 ;Debit Card;3.4
645; $77.00 ;Credit Card;3.8
646; $33.00 ;Venmo;3.1
647; $93.00 ;Bank Transfer;3.0
648; $56.00 ;PayPal;5.0
649; $90.00 ;Cash;3.1
650; $99.00 ;Debit Card;4.6
651; $45.00 ;Cash;2.9
652; $50.00 ;Debit Card;2.9
653; $98.00 ;Bank Transfer;4.2
654; $66.00 ;Cash;3.2
655; $72.00 ;Venmo;2.7
656; $43.00 ;Debit Card;3.6
657; $76.00 ;Venmo;4.6
658; $68.00 ;Debit Card;3.8
659; $28.00 ;Cash;3.7
660; $39.00 ;Debit Card;3.0
661; $97.00 ;Debit Card;2.7
662; $56.00 ;Debit Card;2.7
663; $42.00 ;Credit Card;3.5
664; $51.00 ;Venmo;3.9
665; $88.00 ;Cash;3.8
666; $22.00 ;Bank Transfer;3.3
667; $94.00 ;Venmo;4.6
668; $90.00 ;Credit Card;4.9
669; $75.00 ;Venmo;3.5
670; $55.00 ;Debit Card;4.6
671; $72.00 ;PayPal;4.2
672; $56.00 ;Debit Card;4.1
673; $26.00 ;Bank Transfer;3.0
674; $84.00 ;Venmo;2.7
675; $77.00 ;PayPal;3.3
676; $26.00 ;Bank Transfer;2.9
677; $81.00 ;Bank Transfer;3.4
678; $51.00 ;Credit Card;2.6
679; $41.00 ;Venmo;3.7
680; $40.00 ;Cash;3.3
681; $40.00 ;Cash;3.7
682; $45.00 ;PayPal;2.9
683; $73.00 ;PayPal;4.1
684; $49.00 ;Cash;2.7
685; $98.00 ;Credit Card;4.6
686; $20.00 ;Bank Transfer;2.6
687; $34.00 ;Cash;2.7
688; $87.00 ;PayPal;4.2
689; $74.00 ;Cash;3.6
690; $55.00 ;Bank Transfer;4.2
691; $99.00 ;Credit Card;3.0
692; $58.00 ;PayPal;2.5
693; $59.00 ;Debit Card;4.5
694; $59.00 ;Venmo;3.2
695; $63.00 ;Venmo;3.2
696; $76.00 ;Cash;4.2
697; $68.00 ;PayPal;2.7
698; $22.00 ;Cash;2.9
699; $80.00 ;Debit Card;4.0
700; $57.00 ;Credit Card;4.9
701; $51.00 ;Bank Transfer;4.6
702; $95.00 ;Bank Transfer;2.7
703; $48.00 ;Cash;3.6
704; $31.00 ;Cash;2.6
705; $34.00 ;Credit Card;4.1
706; $38.00 ;Credit Card;2.6
707; $74.00 ;PayPal;4.6
708; $44.00 ;Debit Card;2.8
709; $37.00 ;Cash;3.4
710; $27.00 ;PayPal;3.4
711; $79.00 ;Cash;3.5
712; $90.00 ;PayPal;3.6
713; $62.00 ;Venmo;4.8
714; $48.00 ;Venmo;4.1
715; $97.00 ;Credit Card;4.8
716; $41.00 ;Bank Transfer;4.3
717; $41.00 ;Debit Card;4.8
718; $94.00 ;Credit Card;3.9
719; $72.00 ;Credit Card;4.8
720; $85.00 ;Venmo;4.4
721; $81.00 ;PayPal;2.7
722; $48.00 ;Debit Card;3.5
723; $97.00 ;Cash;4.3
724; $52.00 ;Credit Card;3.8
725; $62.00 ;Debit Card;3.1
726; $51.00 ;PayPal;2.6
727; $43.00 ;Debit Card;3.9
728; $57.00 ;Debit Card;4.4
729; $26.00 ;Venmo;3.9
730; $56.00 ;Credit Card;3.9
731; $32.00 ;PayPal;4.0
732; $97.00 ;Credit Card;4.6
733; $32.00 ;Venmo;4.7
734; $40.00 ;Bank Transfer;3.5
735; $79.00 ;Credit Card;2.9
736; $73.00 ;Credit Card;4.7
737; $84.00 ;Debit Card;2.7
738; $82.00 ;Bank Transfer;3.1
739; $54.00 ;Credit Card;3.4
740; $78.00 ;Venmo;3.9
741; $44.00 ;Venmo;3.6
742; $72.00 ;PayPal;3.3
743; $44.00 ;Bank Transfer;4.2
744; $67.00 ;Venmo;4.1
745; $83.00 ;Bank Transfer;4.1
