Shippment ID;Shipping Type;Frequency of Purchases
1168;Store Pickup;Every 3 Months
3199;Free Shipping;Bi-Weekly
935;Express;Monthly
1731;Free Shipping;Annually
3755;Free Shipping;Monthly
3478;Next Day Air;Fortnightly
3475;Free Shipping;Fortnightly
2519;2-Day Shipping;Every 3 Months
1149;Store Pickup;Every 3 Months
3803;Express;Every 3 Months
1331;2-Day Shipping;Every 3 Months
2832;Standard;Weekly
3128;Standard;Every 3 Months
3663;Next Day Air;Bi-Weekly
679;2-Day Shipping;Bi-Weekly
3558;2-Day Shipping;Fortnightly
2796;Free Shipping;Monthly
2551;Next Day Air;Quarterly
3473;Express;Monthly
797;Standard;Every 3 Months
409;2-Day Shipping;Every 3 Months
1883;Standard;Weekly
1279;Free Shipping;Weekly
2627;Free Shipping;Monthly
2544;Express;Every 3 Months
1647;Store Pickup;Annually
1558;Next Day Air;Annually
681;Express;Quarterly
615;Express;Fortnightly
2374;Express;Bi-Weekly
2581;Next Day Air;Quarterly
3666;Next Day Air;Bi-Weekly
2980;2-Day Shipping;Monthly
2588;Next Day Air;Annually
2477;Standard;Monthly
968;Next Day Air;Fortnightly
2347;Next Day Air;Bi-Weekly
2511;Next Day Air;Fortnightly
1705;Standard;Fortnightly
1190;Free Shipping;Annually
3306;Free Shipping;Bi-Weekly
1749;Next Day Air;Quarterly
1675;Store Pickup;Weekly
1083;Standard;Every 3 Months
3120;Free Shipping;Annually
1113;Express;Fortnightly
998;2-Day Shipping;Bi-Weekly
3297;Express;Annually
1858;Express;Annually
477;Standard;Fortnightly
3227;2-Day Shipping;Fortnightly
3365;Free Shipping;Weekly
3330;Next Day Air;Annually
513;Next Day Air;Every 3 Months
1370;Store Pickup;Every 3 Months
1735;Next Day Air;Weekly
733;Standard;Fortnightly
3353;2-Day Shipping;Bi-Weekly
1845;Next Day Air;Fortnightly
283;Standard;Weekly
2876;2-Day Shipping;Weekly
2460;Next Day Air;Annually
1285;Store Pickup;Monthly
370;Express;Quarterly
2426;Free Shipping;Quarterly
3420;Free Shipping;Weekly
3101;Store Pickup;Weekly
1638;Store Pickup;Annually
3625;2-Day Shipping;Weekly
1151;Free Shipping;Weekly
643;Free Shipping;Fortnightly
3217;Store Pickup;Quarterly
2838;Express;Monthly
1778;Standard;Quarterly
1045;Standard;Fortnightly
129;2-Day Shipping;Fortnightly
1057;Store Pickup;Annually
930;Free Shipping;Monthly
1575;Standard;Every 3 Months
2257;Next Day Air;Annually
2188;Express;Annually
2606;Standard;Annually
2037;Next Day Air;Quarterly
1025;Free Shipping;Quarterly
2851;Standard;Annually
173;Next Day Air;Fortnightly
80;Standard;Monthly
1458;Store Pickup;Every 3 Months
3676;Free Shipping;Monthly
2236;Express;Fortnightly
2343;Store Pickup;Bi-Weekly
2589;Standard;Weekly
2657;Free Shipping;Fortnightly
1265;Store Pickup;Monthly
1977;Store Pickup;Monthly
2825;Express;Every 3 Months
3264;Express;Fortnightly
3551;Standard;Every 3 Months
439;Store Pickup;Bi-Weekly
1720;Store Pickup;Weekly
1568;Next Day Air;Bi-Weekly
1325;Standard;Annually
2988;Express;Annually
371;Next Day Air;Annually
1144;Next Day Air;Quarterly
2085;Next Day Air;Monthly
1765;2-Day Shipping;Quarterly
71;Store Pickup;Fortnightly
2584;Store Pickup;Fortnightly
2200;Next Day Air;Weekly
456;Store Pickup;Annually
3521;2-Day Shipping;Weekly
93;Express;Fortnightly
586;Store Pickup;Fortnightly
3396;Standard;Annually
1545;Store Pickup;Bi-Weekly
773;Express;Bi-Weekly
3329;Next Day Air;Weekly
1755;Free Shipping;Quarterly
938;Free Shipping;Every 3 Months
2735;Express;Bi-Weekly
1277;Standard;Annually
1492;Express;Quarterly
3440;Free Shipping;Monthly
3701;Next Day Air;Fortnightly
2457;2-Day Shipping;Monthly
3537;Standard;Fortnightly
2764;Express;Weekly
1300;Next Day Air;Monthly
3008;Free Shipping;Annually
467;Express;Annually
1791;Next Day Air;Weekly
3143;Store Pickup;Bi-Weekly
3390;Standard;Weekly
44;Free Shipping;Fortnightly
1505;Express;Bi-Weekly
1566;Store Pickup;Monthly
3621;Store Pickup;Every 3 Months
1079;2-Day Shipping;Fortnightly
87;2-Day Shipping;Fortnightly
2745;Express;Annually
1259;Store Pickup;Every 3 Months
3039;Next Day Air;Every 3 Months
1093;2-Day Shipping;Bi-Weekly
1592;Free Shipping;Weekly
3243;Next Day Air;Annually
761;Store Pickup;Quarterly
2641;Free Shipping;Fortnightly
3067;Express;Fortnightly
1626;Store Pickup;Quarterly
2702;2-Day Shipping;Fortnightly
1462;Free Shipping;Annually
1175;Free Shipping;Every 3 Months
3388;Next Day Air;Annually
943;Free Shipping;Monthly
1796;Standard;Fortnightly
735;Store Pickup;Annually
3786;Next Day Air;Every 3 Months
2320;Standard;Annually
3141;2-Day Shipping;Every 3 Months
3196;Express;Bi-Weekly
220;Next Day Air;Every 3 Months
2704;Next Day Air;Weekly
200;Free Shipping;Quarterly
3146;Next Day Air;Fortnightly
2214;Store Pickup;Fortnightly
1530;Free Shipping;Annually
192;Express;Bi-Weekly
1933;Free Shipping;Fortnightly
225;Free Shipping;Bi-Weekly
3534;Store Pickup;Every 3 Months
2335;2-Day Shipping;Monthly
3444;2-Day Shipping;Weekly
854;Next Day Air;Fortnightly
2219;Express;Bi-Weekly
68;Standard;Weekly
1536;Express;Weekly
1685;Standard;Annually
1813;Express;Weekly
3696;Standard;Annually
1572;Free Shipping;Fortnightly
2658;2-Day Shipping;Bi-Weekly
663;Store Pickup;Bi-Weekly
2030;Free Shipping;Annually
3036;Express;Every 3 Months
575;Express;Quarterly
2533;Express;Quarterly
576;Standard;Annually
3341;2-Day Shipping;Every 3 Months
957;Standard;Annually
3738;Next Day Air;Annually
3719;Store Pickup;Monthly
3772;Store Pickup;Annually
2826;2-Day Shipping;Bi-Weekly
2665;Express;Weekly
3821;2-Day Shipping;Annually
3650;Store Pickup;Monthly
974;Next Day Air;Bi-Weekly
3081;Free Shipping;Annually
241;Express;Fortnightly
2208;2-Day Shipping;Bi-Weekly
3462;Express;Quarterly
495;Express;Bi-Weekly
2371;Express;Weekly
1501;Express;Fortnightly
595;Store Pickup;Bi-Weekly
90;Express;Annually
1867;Standard;Monthly
636;2-Day Shipping;Bi-Weekly
2861;Standard;Bi-Weekly
1588;2-Day Shipping;Monthly
2154;Next Day Air;Annually
2317;Standard;Quarterly
1579;Express;Bi-Weekly
2213;Store Pickup;Annually
709;2-Day Shipping;Fortnightly
1235;2-Day Shipping;Bi-Weekly
2139;2-Day Shipping;Monthly
3381;Standard;Weekly
756;Next Day Air;Monthly
2140;Free Shipping;Quarterly
2664;Express;Annually
300;Store Pickup;Every 3 Months
2555;Store Pickup;Quarterly
1928;2-Day Shipping;Weekly
1301;Standard;Bi-Weekly
261;Standard;Every 3 Months
2763;Next Day Air;Fortnightly
3707;Store Pickup;Weekly
1527;Standard;Every 3 Months
2537;Express;Every 3 Months
3583;Next Day Air;Weekly
2081;Next Day Air;Bi-Weekly
47;2-Day Shipping;Annually
2788;Express;Annually
3737;Free Shipping;Every 3 Months
1312;Standard;Bi-Weekly
205;Standard;Fortnightly
3512;Standard;Fortnightly
3505;Store Pickup;Monthly
465;Next Day Air;Annually
1030;Express;Every 3 Months
2090;Store Pickup;Every 3 Months
315;Express;Annually
1239;Free Shipping;Monthly
2078;Standard;Every 3 Months
3135;Standard;Annually
1565;Standard;Every 3 Months
1161;Standard;Quarterly
2229;Free Shipping;Quarterly
1708;Standard;Monthly
94;Next Day Air;Bi-Weekly
78;Standard;Quarterly
1900;Free Shipping;Annually
1139;Store Pickup;Weekly
3545;Free Shipping;Weekly
2412;Free Shipping;Weekly
1413;2-Day Shipping;Monthly
1957;Express;Bi-Weekly
351;Store Pickup;Quarterly
1074;2-Day Shipping;Monthly
2402;Standard;Bi-Weekly
3693;Next Day Air;Annually
1876;Standard;Every 3 Months
2127;Express;Annually
3031;2-Day Shipping;Annually
3508;Express;Weekly
2728;2-Day Shipping;Every 3 Months
3489;Express;Every 3 Months
1770;Store Pickup;Bi-Weekly
619;Next Day Air;Every 3 Months
2778;Next Day Air;Monthly
2345;Standard;Monthly
1244;Next Day Air;Annually
3368;Next Day Air;Weekly
3137;Store Pickup;Fortnightly
593;Free Shipping;Fortnightly
2416;2-Day Shipping;Bi-Weekly
1919;2-Day Shipping;Fortnightly
1661;Standard;Bi-Weekly
2800;Next Day Air;Every 3 Months
589;Store Pickup;Monthly
211;Free Shipping;Weekly
3085;2-Day Shipping;Every 3 Months
520;Standard;Weekly
324;Standard;Bi-Weekly
3107;Express;Every 3 Months
3345;Store Pickup;Every 3 Months
3805;Standard;Fortnightly
3304;Free Shipping;Annually
3421;Free Shipping;Fortnightly
3694;Free Shipping;Fortnightly
2076;Free Shipping;Every 3 Months
2212;Standard;Quarterly
3251;Store Pickup;Fortnightly
3106;Store Pickup;Monthly
770;Standard;Monthly
680;Store Pickup;Quarterly
881;Express;Weekly
2767;2-Day Shipping;Monthly
222;Standard;Weekly
3351;Express;Bi-Weekly
552;Store Pickup;Monthly
2598;Standard;Quarterly
977;Express;Bi-Weekly
317;Standard;Every 3 Months
1698;Next Day Air;Monthly
482;2-Day Shipping;Bi-Weekly
599;Store Pickup;Weekly
1985;Store Pickup;Every 3 Months
3169;Store Pickup;Quarterly
1486;Standard;Quarterly
335;2-Day Shipping;Annually
1058;Next Day Air;Bi-Weekly
1117;Express;Quarterly
2178;Store Pickup;Fortnightly
454;Store Pickup;Quarterly
1931;Standard;Monthly
2013;2-Day Shipping;Annually
980;Standard;Fortnightly
3697;Next Day Air;Annually
2673;Standard;Fortnightly
3142;Store Pickup;Bi-Weekly
626;Store Pickup;Annually
3660;Standard;Annually
1196;Free Shipping;Annually
3539;Free Shipping;Every 3 Months
2681;2-Day Shipping;Monthly
2936;Free Shipping;Fortnightly
3690;Standard;Quarterly
3769;Express;Monthly
1306;Next Day Air;Annually
3425;Store Pickup;Monthly
1260;Standard;Annually
670;Express;Monthly
2969;Next Day Air;Bi-Weekly
1707;Express;Fortnightly
2255;2-Day Shipping;Monthly
274;2-Day Shipping;Quarterly
1104;Express;Annually
1884;Store Pickup;Weekly
650;Free Shipping;Monthly
1319;Store Pickup;Weekly
3560;Express;Monthly
3671;Free Shipping;Fortnightly
127;Free Shipping;Quarterly
3745;Standard;Bi-Weekly
3349;Free Shipping;Every 3 Months
3291;Free Shipping;Bi-Weekly
2436;Standard;Bi-Weekly
3703;Store Pickup;Annually
673;Store Pickup;Bi-Weekly
1128;Standard;Fortnightly
2677;Store Pickup;Quarterly
2549;Express;Quarterly
3165;Store Pickup;Quarterly
1960;Free Shipping;Fortnightly
2873;2-Day Shipping;Fortnightly
2475;Store Pickup;Annually
1360;Store Pickup;Fortnightly
2171;Free Shipping;Weekly
1589;Store Pickup;Fortnightly
3486;Store Pickup;Every 3 Months
1250;Next Day Air;Monthly
3757;Free Shipping;Weekly
3797;Next Day Air;Annually
2185;Express;Fortnightly
3371;Free Shipping;Monthly
587;Store Pickup;Fortnightly
2448;Standard;Annually
2628;Store Pickup;Quarterly
907;Free Shipping;Annually
248;Store Pickup;Annually
43;Standard;Annually
1541;Store Pickup;Monthly
928;Standard;Every 3 Months
1219;Next Day Air;Fortnightly
682;2-Day Shipping;Monthly
1122;Store Pickup;Monthly
1302;Express;Fortnightly
3524;Express;Fortnightly
566;Next Day Air;Weekly
388;Next Day Air;Bi-Weekly
1263;Store Pickup;Fortnightly
1781;2-Day Shipping;Quarterly
3047;Next Day Air;Every 3 Months
3072;2-Day Shipping;Monthly
2316;Standard;Fortnightly
3589;Store Pickup;Weekly
106;Express;Weekly
1795;Express;Every 3 Months
501;Standard;Weekly
3450;Next Day Air;Monthly
2283;Next Day Air;Quarterly
2744;Free Shipping;Weekly
828;2-Day Shipping;Every 3 Months
3477;Free Shipping;Quarterly
2802;2-Day Shipping;Bi-Weekly
2174;Express;Every 3 Months
41;2-Day Shipping;Quarterly
374;Free Shipping;Quarterly
3265;Store Pickup;Every 3 Months
2686;2-Day Shipping;Quarterly
110;Free Shipping;Annually
1156;Free Shipping;Fortnightly
2169;Free Shipping;Weekly
1913;Free Shipping;Annually
1811;Store Pickup;Monthly
799;Standard;Bi-Weekly
1346;2-Day Shipping;Fortnightly
1534;2-Day Shipping;Annually
1959;Store Pickup;Weekly
736;Free Shipping;Quarterly
427;Next Day Air;Fortnightly
2611;Store Pickup;Every 3 Months
151;Store Pickup;Quarterly
1176;Standard;Weekly
815;Standard;Annually
2927;2-Day Shipping;Monthly
2179;2-Day Shipping;Bi-Weekly
334;Standard;Weekly
3082;Store Pickup;Bi-Weekly
163;Express;Weekly
2077;Free Shipping;Fortnightly
2469;Express;Fortnightly
3500;Free Shipping;Weekly
1562;Free Shipping;Monthly
2312;Express;Monthly
2517;Next Day Air;Every 3 Months
3659;Next Day Air;Annually
986;Express;Fortnightly
6;Next Day Air;Quarterly
3384;Free Shipping;Annually
2915;Express;Bi-Weekly
152;2-Day Shipping;Annually
1841;Store Pickup;Fortnightly
1543;Store Pickup;Quarterly
423;Free Shipping;Weekly
3813;2-Day Shipping;Annually
1298;Free Shipping;Annually
212;Next Day Air;Monthly
509;Store Pickup;Annually
3629;Standard;Quarterly
1926;Next Day Air;Monthly
3634;2-Day Shipping;Bi-Weekly
2558;Free Shipping;Every 3 Months
1080;Next Day Air;Every 3 Months
1982;2-Day Shipping;Quarterly
3442;Free Shipping;Quarterly
1808;Standard;Annually
2797;Store Pickup;Quarterly
1164;Express;Quarterly
3692;Free Shipping;Annually
1038;Next Day Air;Monthly
3319;Standard;Monthly
2234;Next Day Air;Every 3 Months
3086;Express;Annually
790;Standard;Monthly
2421;Store Pickup;Bi-Weekly
2440;Next Day Air;Weekly
2450;Express;Every 3 Months
368;Next Day Air;Weekly
1072;Next Day Air;Quarterly
2726;Free Shipping;Weekly
1800;Store Pickup;Every 3 Months
3257;Store Pickup;Annually
2640;Free Shipping;Weekly
3869;Store Pickup;Weekly
3040;Next Day Air;Every 3 Months
3540;Next Day Air;Bi-Weekly
2597;Next Day Air;Bi-Weekly
3861;Express;Monthly
2866;Standard;Every 3 Months
2150;2-Day Shipping;Annually
3097;Free Shipping;Bi-Weekly
778;Free Shipping;Weekly
1504;Store Pickup;Every 3 Months
1719;Express;Bi-Weekly
179;Store Pickup;Weekly
887;2-Day Shipping;Bi-Weekly
900;Express;Weekly
694;Express;Quarterly
2308;Express;Weekly
506;Express;Annually
2779;Store Pickup;Fortnightly
2770;Free Shipping;Weekly
2370;Express;Every 3 Months
1377;Store Pickup;Monthly
3708;Free Shipping;Annually
850;Next Day Air;Fortnightly
2956;Standard;Annually
1871;Standard;Quarterly
1621;Next Day Air;Weekly
226;Store Pickup;Weekly
2488;Store Pickup;Fortnightly
2404;Next Day Air;Fortnightly
3423;Free Shipping;Monthly
3050;Express;Every 3 Months
2135;Standard;Annually
1786;Free Shipping;Weekly
732;Next Day Air;Annually
864;2-Day Shipping;Bi-Weekly
215;Free Shipping;Bi-Weekly
3538;Express;Monthly
802;2-Day Shipping;Every 3 Months
103;Store Pickup;Annually
2794;Next Day Air;Fortnightly
2994;Free Shipping;Annually
33;Free Shipping;Weekly
74;Store Pickup;Every 3 Months
995;Store Pickup;Quarterly
2351;Store Pickup;Monthly
3874;Free Shipping;Monthly
2799;Next Day Air;Every 3 Months
1892;2-Day Shipping;Annually
2204;Express;Every 3 Months
2132;Standard;Quarterly
3823;2-Day Shipping;Annually
1225;Standard;Fortnightly
3639;Store Pickup;Bi-Weekly
290;Free Shipping;Every 3 Months
2489;Store Pickup;Every 3 Months
3220;Next Day Air;Monthly
2502;Next Day Air;Quarterly
2515;Store Pickup;Annually
2118;Standard;Fortnightly
1738;2-Day Shipping;Every 3 Months
1115;Standard;Every 3 Months
1773;2-Day Shipping;Monthly
3364;Store Pickup;Fortnightly
851;Next Day Air;Every 3 Months
1896;2-Day Shipping;Every 3 Months
1081;Store Pickup;Every 3 Months
3490;Standard;Weekly
1348;Standard;Monthly
457;Next Day Air;Monthly
798;Next Day Air;Every 3 Months
866;Next Day Air;Fortnightly
3370;Free Shipping;Every 3 Months
2182;Store Pickup;Monthly
420;Express;Quarterly
172;Standard;Bi-Weekly
3594;Standard;Bi-Weekly
3834;Next Day Air;Annually
1821;Free Shipping;Every 3 Months
534;Standard;Quarterly
2321;Express;Bi-Weekly
363;Store Pickup;Every 3 Months
3282;2-Day Shipping;Every 3 Months
2303;Store Pickup;Weekly
2719;Next Day Air;Fortnightly
1044;Standard;Bi-Weekly
2601;Express;Annually
843;Next Day Air;Weekly
2387;Standard;Annually
1323;Express;Monthly
498;2-Day Shipping;Monthly
2878;Standard;Annually
1368;2-Day Shipping;Annually
1366;Store Pickup;Fortnightly
664;Next Day Air;Fortnightly
160;Express;Quarterly
3895;Standard;Weekly
1017;2-Day Shipping;Quarterly
1435;Store Pickup;Every 3 Months
357;2-Day Shipping;Fortnightly
842;Express;Monthly
34;2-Day Shipping;Annually
2451;Store Pickup;Fortnightly
740;2-Day Shipping;Every 3 Months
836;2-Day Shipping;Bi-Weekly
1166;Next Day Air;Every 3 Months
3218;Next Day Air;Weekly
1978;Express;Bi-Weekly
2293;Standard;Bi-Weekly
3633;Express;Fortnightly
3075;Store Pickup;Weekly
24;Store Pickup;Every 3 Months
3483;Next Day Air;Annually
3013;Next Day Air;Fortnightly
3441;Free Shipping;Weekly
412;2-Day Shipping;Fortnightly
550;2-Day Shipping;Annually
3415;Free Shipping;Monthly
2902;Standard;Quarterly
962;Free Shipping;Quarterly
633;Store Pickup;Weekly
1042;2-Day Shipping;Weekly
1519;2-Day Shipping;Quarterly
82;Store Pickup;Quarterly
3314;Express;Bi-Weekly
2355;Express;Monthly
2495;Express;Bi-Weekly
2750;2-Day Shipping;Annually
3011;Free Shipping;Quarterly
1472;Standard;Quarterly
3051;Express;Monthly
2428;Free Shipping;Bi-Weekly
3840;Next Day Air;Bi-Weekly
875;Express;Weekly
3796;2-Day Shipping;Quarterly
917;Free Shipping;Bi-Weekly
2850;Store Pickup;Annually
270;2-Day Shipping;Annually
2032;2-Day Shipping;Bi-Weekly
2887;Express;Annually
1706;Store Pickup;Every 3 Months
3715;Express;Fortnightly
632;Express;Annually
1369;2-Day Shipping;Every 3 Months
897;Standard;Bi-Weekly
3138;Free Shipping;Monthly
3476;Express;Monthly
2955;Standard;Fortnightly
227;2-Day Shipping;Fortnightly
219;Free Shipping;Quarterly
2768;Store Pickup;Monthly
3863;Express;Every 3 Months
2532;Standard;Weekly
2639;Standard;Bi-Weekly
1733;2-Day Shipping;Every 3 Months
3617;Free Shipping;Every 3 Months
2787;2-Day Shipping;Every 3 Months
1645;Next Day Air;Every 3 Months
2582;Standard;Monthly
3026;Free Shipping;Quarterly
1293;Standard;Weekly
2733;2-Day Shipping;Weekly
581;Standard;Monthly
2749;Next Day Air;Every 3 Months
2280;Store Pickup;Weekly
3487;Standard;Weekly
1819;Express;Annually
1559;Free Shipping;Quarterly
1123;Express;Weekly
490;Next Day Air;Annually
1162;Store Pickup;Fortnightly
1827;Standard;Monthly
414;Standard;Fortnightly
3271;2-Day Shipping;Bi-Weekly
3465;Next Day Air;Quarterly
926;Express;Bi-Weekly
2105;Store Pickup;Fortnightly
2816;Express;Quarterly
1061;Express;Bi-Weekly
1073;Express;Every 3 Months
445;Standard;Annually
3259;Next Day Air;Bi-Weekly
3827;Free Shipping;Weekly
1004;Next Day Air;Every 3 Months
433;Store Pickup;Bi-Weekly
876;Express;Monthly
857;Store Pickup;Every 3 Months
1810;Standard;Fortnightly
3157;Next Day Air;Every 3 Months
715;Next Day Air;Every 3 Months
154;Next Day Air;Every 3 Months
86;Express;Every 3 Months
1466;Standard;Fortnightly
1776;Free Shipping;Fortnightly
2461;Express;Bi-Weekly
3451;2-Day Shipping;Bi-Weekly
614;Express;Every 3 Months
2300;2-Day Shipping;Bi-Weekly
2698;2-Day Shipping;Every 3 Months
1188;Store Pickup;Annually
2442;2-Day Shipping;Quarterly
3848;Free Shipping;Bi-Weekly
525;Next Day Air;Fortnightly
1131;Free Shipping;Every 3 Months
2948;Express;Quarterly
624;Free Shipping;Weekly
1850;Next Day Air;Bi-Weekly
469;Standard;Monthly
3729;Free Shipping;Annually
2642;Next Day Air;Weekly
1174;Free Shipping;Quarterly
1602;Standard;Quarterly
1463;Free Shipping;Annually
719;Free Shipping;Monthly
1531;2-Day Shipping;Every 3 Months
2175;Store Pickup;Quarterly
3770;Store Pickup;Quarterly
807;Free Shipping;Weekly
1066;Standard;Fortnightly
1636;Store Pickup;Quarterly
2656;2-Day Shipping;Every 3 Months
16;Next Day Air;Fortnightly
3191;Free Shipping;Annually
3288;Express;Weekly
1560;Standard;Fortnightly
652;2-Day Shipping;Monthly
3434;Free Shipping;Quarterly
3080;Store Pickup;Quarterly
3880;Next Day Air;Monthly
585;Next Day Air;Annually
4;Express;Weekly
1438;Store Pickup;Monthly
2323;Express;Annually
3;Next Day Air;Fortnightly
1453;Free Shipping;Bi-Weekly
3034;Express;Bi-Weekly
1238;Standard;Quarterly
3320;Store Pickup;Monthly
3674;Standard;Every 3 Months
3187;Express;Weekly
2618;Store Pickup;Annually
2753;Express;Annually
2278;Free Shipping;Quarterly
2271;Store Pickup;Fortnightly
2614;Standard;Weekly
379;Next Day Air;Fortnightly
2688;Store Pickup;Every 3 Months
3213;Next Day Air;Fortnightly
3614;Express;Every 3 Months
2120;Free Shipping;Weekly
3114;Store Pickup;Quarterly
674;Standard;Bi-Weekly
1270;Store Pickup;Quarterly
1267;2-Day Shipping;Fortnightly
970;Next Day Air;Weekly
3824;Free Shipping;Monthly
251;Store Pickup;Fortnightly
3311;Store Pickup;Annually
2180;2-Day Shipping;Annually
2889;2-Day Shipping;Weekly
3470;2-Day Shipping;Every 3 Months
2849;Free Shipping;Annually
3287;Free Shipping;Every 3 Months
2875;Express;Fortnightly
2322;Next Day Air;Weekly
2910;Express;Every 3 Months
329;Store Pickup;Quarterly
2216;Next Day Air;Monthly
3740;Standard;Quarterly
3567;Express;Weekly
3830;Next Day Air;Every 3 Months
3385;Next Day Air;Bi-Weekly
1452;Store Pickup;Bi-Weekly
3360;Free Shipping;Quarterly
455;Standard;Weekly
3042;Store Pickup;Annually
1178;Express;Monthly
984;Next Day Air;Bi-Weekly
3724;Store Pickup;Monthly
3695;Store Pickup;Fortnightly
3554;Store Pickup;Monthly
3201;Next Day Air;Quarterly
1717;2-Day Shipping;Monthly
2518;Standard;Bi-Weekly
532;Standard;Annually
1130;Free Shipping;Quarterly
3094;Store Pickup;Quarterly
3255;Next Day Air;Monthly
2848;Standard;Weekly
3093;Free Shipping;Fortnightly
3212;2-Day Shipping;Bi-Weekly
987;2-Day Shipping;Fortnightly
2247;Express;Annually
504;Express;Every 3 Months
1409;Express;Bi-Weekly
3181;Standard;Annually
2296;Free Shipping;Weekly
1837;Next Day Air;Weekly
536;Store Pickup;Bi-Weekly
2590;Express;Every 3 Months
1252;Express;Annually
704;Free Shipping;Every 3 Months
2207;2-Day Shipping;Weekly
1904;Store Pickup;Fortnightly
1227;Express;Weekly
3161;Express;Weekly
2116;Express;Bi-Weekly
2760;Standard;Monthly
2830;Express;Quarterly
1605;Standard;Monthly
3009;Store Pickup;Bi-Weekly
2890;Express;Quarterly
686;Store Pickup;Monthly
2042;Express;Monthly
531;Next Day Air;Every 3 Months
766;Free Shipping;Monthly
3414;Free Shipping;Monthly
2967;2-Day Shipping;Quarterly
3007;Express;Fortnightly
1167;Standard;Every 3 Months
557;Free Shipping;Weekly
1491;Next Day Air;Monthly
2625;Standard;Monthly
3689;2-Day Shipping;Every 3 Months
2925;Standard;Fortnightly
2638;Standard;Fortnightly
855;Next Day Air;Annually
1313;Store Pickup;Annually
85;Free Shipping;Bi-Weekly
2671;Free Shipping;Fortnightly
3892;Next Day Air;Every 3 Months
3467;2-Day Shipping;Weekly
2742;Standard;Bi-Weekly
3661;Next Day Air;Quarterly
2311;Standard;Quarterly
1673;Free Shipping;Quarterly
3775;Free Shipping;Every 3 Months
320;Free Shipping;Every 3 Months
3578;2-Day Shipping;Weekly
1322;Next Day Air;Every 3 Months
339;Express;Weekly
2871;Free Shipping;Quarterly
1419;Express;Monthly
2827;Next Day Air;Annually
1211;Next Day Air;Every 3 Months
1853;Free Shipping;Monthly
578;Express;Weekly
1335;Free Shipping;Every 3 Months
1951;Express;Monthly
1674;2-Day Shipping;Fortnightly
2334;Express;Annually
1608;Free Shipping;Weekly
2033;2-Day Shipping;Monthly
729;Store Pickup;Every 3 Months
2959;Free Shipping;Monthly
3336;Express;Monthly
2471;Free Shipping;Quarterly
1515;Next Day Air;Quarterly
1352;Express;Fortnightly
510;Express;Weekly
1253;2-Day Shipping;Every 3 Months
879;Standard;Annually
2661;Free Shipping;Quarterly
2297;2-Day Shipping;Monthly
708;Next Day Air;Monthly
3877;Express;Quarterly
2892;Free Shipping;Every 3 Months
1390;Standard;Annually
3378;Standard;Bi-Weekly
1019;Express;Bi-Weekly
1803;Free Shipping;Every 3 Months
662;Express;Weekly
1357;Express;Monthly
2022;2-Day Shipping;Quarterly
444;Next Day Air;Monthly
2379;Next Day Air;Every 3 Months
3266;Standard;Every 3 Months
1701;Store Pickup;Fortnightly
2220;Standard;Monthly
1533;Standard;Quarterly
521;2-Day Shipping;Fortnightly
3059;2-Day Shipping;Bi-Weekly
3173;Free Shipping;Weekly
540;Express;Weekly
2839;Standard;Monthly
3564;2-Day Shipping;Weekly
3429;Standard;Quarterly
