Shippment_ID;Shipping_Type;Frequency_of_Purchases
206;Store Pickup;Monthly
207;Standard;Bi-Weekly
208;Express;Annually
209;Free Shipping;Every 3 Months
210;2-Day Shipping;Bi-Weekly
211;Free Shipping;Weekly
212;Next Day Air;Monthly
213;Express;Quarterly
214;Store Pickup;Fortnightly
215;Free Shipping;Bi-Weekly
216;2-Day Shipping;Monthly
217;Store Pickup;Annually
218;Next Day Air;Quarterly
219;Free Shipping;Quarterly
220;Next Day Air;Every 3 Months
221;2-Day Shipping;Weekly
222;Standard;Weekly
223;Standard;Every 3 Months
224;Store Pickup;Every 3 Months
225;Free Shipping;Bi-Weekly
226;Store Pickup;Weekly
227;2-Day Shipping;Fortnightly
228;Store Pickup;Every 3 Months
229;Free Shipping;Annually
230;Standard;Monthly
231;Standard;Quarterly
232;Free Shipping;Annually
233;Standard;Every 3 Months
234;Standard;Quarterly
235;2-Day Shipping;Every 3 Months
236;Express;Fortnightly
237;Next Day Air;Monthly
238;Free Shipping;Quarterly
239;Store Pickup;Monthly
240;Free Shipping;Annually
241;Express;Fortnightly
242;Standard;Monthly
243;2-Day Shipping;Quarterly
244;Store Pickup;Annually
245;Next Day Air;Fortnightly
246;Next Day Air;Fortnightly
247;Standard;Annually
248;Store Pickup;Annually
249;Free Shipping;Quarterly
250;2-Day Shipping;Monthly
251;Store Pickup;Fortnightly
252;Free Shipping;Annually
253;Standard;Quarterly
254;Store Pickup;Weekly
255;Standard;Every 3 Months
256;Free Shipping;Weekly
257;Next Day Air;Quarterly
258;Standard;Annually
259;Free Shipping;Annually
260;Free Shipping;Monthly
261;Standard;Every 3 Months
262;Standard;Weekly
263;Store Pickup;Quarterly
264;Free Shipping;Quarterly
265;Free Shipping;Weekly
266;Express;Weekly
267;Next Day Air;Weekly
268;Express;Fortnightly
269;2-Day Shipping;Weekly
270;2-Day Shipping;Annually
271;Express;Bi-Weekly
272;Free Shipping;Annually
273;Free Shipping;Monthly
274;2-Day Shipping;Quarterly
275;Free Shipping;Monthly
276;Next Day Air;Monthly
277;Store Pickup;Weekly
278;Express;Weekly
279;Free Shipping;Annually
280;Express;Quarterly
281;Standard;Weekly
282;Standard;Every 3 Months
283;Standard;Weekly
284;Express;Every 3 Months
285;Free Shipping;Weekly
286;Free Shipping;Quarterly
287;Standard;Fortnightly
288;Standard;Quarterly
289;Express;Every 3 Months
290;Free Shipping;Every 3 Months
291;2-Day Shipping;Weekly
292;Next Day Air;Fortnightly
293;Next Day Air;Fortnightly
294;Standard;Annually
295;Standard;Fortnightly
296;2-Day Shipping;Weekly
297;2-Day Shipping;Annually
298;Store Pickup;Quarterly
299;Next Day Air;Annually
300;Store Pickup;Every 3 Months
301;Standard;Monthly
302;Free Shipping;Monthly
303;2-Day Shipping;Monthly
304;Express;Quarterly
305;Express;Every 3 Months
306;Express;Quarterly
307;Free Shipping;Bi-Weekly
308;Standard;Fortnightly
309;Store Pickup;Annually
310;Standard;Quarterly
311;Next Day Air;Monthly
312;Express;Annually
313;Standard;Quarterly
314;Standard;Fortnightly
315;Express;Annually
316;Standard;Bi-Weekly
317;Standard;Every 3 Months
318;2-Day Shipping;Weekly
319;Store Pickup;Every 3 Months
320;Free Shipping;Every 3 Months
321;Standard;Weekly
322;Next Day Air;Weekly
323;Standard;Monthly
324;Standard;Bi-Weekly
325;Free Shipping;Bi-Weekly
326;Standard;Quarterly
327;2-Day Shipping;Annually
328;Free Shipping;Every 3 Months
329;Store Pickup;Quarterly
330;2-Day Shipping;Bi-Weekly
331;Free Shipping;Annually
332;Standard;Bi-Weekly
333;2-Day Shipping;Fortnightly
334;Standard;Weekly
335;2-Day Shipping;Annually
336;Standard;Fortnightly
337;Next Day Air;Every 3 Months
338;Next Day Air;Every 3 Months
339;Express;Weekly
340;Next Day Air;Bi-Weekly
341;Standard;Annually
342;Standard;Weekly
343;Next Day Air;Quarterly
344;Store Pickup;Weekly
345;Free Shipping;Monthly
346;2-Day Shipping;Annually
347;Express;Bi-Weekly
348;Standard;Annually
349;Next Day Air;Annually
350;Store Pickup;Fortnightly
351;Store Pickup;Quarterly
352;Express;Every 3 Months
353;Store Pickup;Monthly
354;Express;Quarterly
355;Standard;Weekly
356;2-Day Shipping;Bi-Weekly
357;2-Day Shipping;Fortnightly
358;Free Shipping;Weekly
359;Next Day Air;Every 3 Months
360;Standard;Quarterly
361;Express;Every 3 Months
362;Standard;Annually
363;Store Pickup;Every 3 Months
364;Standard;Annually
365;Standard;Monthly
366;2-Day Shipping;Annually
367;Next Day Air;Every 3 Months
368;Next Day Air;Weekly
369;Store Pickup;Fortnightly
370;Express;Quarterly
371;Next Day Air;Annually
372;Store Pickup;Bi-Weekly
373;Free Shipping;Bi-Weekly
374;Free Shipping;Quarterly
375;Standard;Monthly
376;2-Day Shipping;Annually
377;Standard;Every 3 Months
378;Next Day Air;Monthly
379;Next Day Air;Fortnightly
380;Next Day Air;Every 3 Months
381;Next Day Air;Weekly
382;Next Day Air;Monthly
383;Next Day Air;Weekly
384;2-Day Shipping;Annually
385;Standard;Quarterly
386;Standard;Annually
387;Express;Weekly
388;Next Day Air;Bi-Weekly
389;Next Day Air;Quarterly
390;Store Pickup;Annually
391;2-Day Shipping;Weekly
392;Store Pickup;Monthly
393;Store Pickup;Annually
394;Store Pickup;Every 3 Months
395;Next Day Air;Quarterly
396;Next Day Air;Monthly
397;2-Day Shipping;Annually
398;2-Day Shipping;Quarterly
399;Standard;Quarterly
400;Next Day Air;Quarterly
401;Store Pickup;Bi-Weekly
402;Express;Weekly
403;Standard;Fortnightly
404;Free Shipping;Every 3 Months
405;Store Pickup;Annually
406;Store Pickup;Annually
407;Free Shipping;Quarterly
408;Standard;Weekly
409;2-Day Shipping;Every 3 Months
410;Standard;Quarterly
411;Standard;Quarterly
412;2-Day Shipping;Fortnightly
413;2-Day Shipping;Bi-Weekly
414;Standard;Fortnightly
415;2-Day Shipping;Monthly
416;Free Shipping;Every 3 Months
417;Express;Every 3 Months
418;2-Day Shipping;Bi-Weekly
419;Express;Every 3 Months
420;Express;Quarterly
421;Express;Annually
422;Store Pickup;Annually
423;Free Shipping;Weekly
424;2-Day Shipping;Weekly
425;Store Pickup;Monthly
426;Standard;Quarterly
427;Next Day Air;Fortnightly
428;Next Day Air;Weekly
429;Standard;Weekly
430;Store Pickup;Monthly
431;Express;Quarterly
432;Next Day Air;Weekly
433;Store Pickup;Bi-Weekly
434;Next Day Air;Quarterly
435;Next Day Air;Fortnightly
436;Free Shipping;Quarterly
437;Standard;Fortnightly
438;Next Day Air;Quarterly
439;Store Pickup;Bi-Weekly
440;2-Day Shipping;Monthly
441;2-Day Shipping;Weekly
442;Store Pickup;Fortnightly
443;Express;Monthly
444;Next Day Air;Monthly
445;Standard;Annually
446;Standard;Fortnightly
447;Store Pickup;Monthly
448;Free Shipping;Bi-Weekly
449;Next Day Air;Monthly
450;Standard;Weekly
451;Next Day Air;Quarterly
452;2-Day Shipping;Annually
453;Express;Monthly
454;Store Pickup;Quarterly
455;Standard;Weekly
456;Store Pickup;Annually
457;Next Day Air;Monthly
458;Next Day Air;Every 3 Months
459;Next Day Air;Monthly
460;Free Shipping;Weekly
461;Store Pickup;Fortnightly
462;Express;Bi-Weekly
463;Standard;Bi-Weekly
464;Standard;Annually
465;Next Day Air;Annually
466;Next Day Air;Monthly
467;Express;Annually
468;2-Day Shipping;Bi-Weekly
469;Standard;Monthly
470;Next Day Air;Every 3 Months
471;Express;Fortnightly
472;2-Day Shipping;Quarterly
473;Store Pickup;Bi-Weekly
474;Next Day Air;Bi-Weekly
475;Express;Fortnightly
476;Standard;Quarterly
477;Standard;Fortnightly
478;Free Shipping;Weekly
479;Standard;Quarterly
480;2-Day Shipping;Annually
481;Next Day Air;Bi-Weekly
482;2-Day Shipping;Bi-Weekly
483;2-Day Shipping;Weekly
484;Store Pickup;Every 3 Months
485;Store Pickup;Monthly
486;Express;Bi-Weekly
487;Standard;Monthly
488;Standard;Monthly
489;Next Day Air;Quarterly
490;Next Day Air;Annually
491;Store Pickup;Weekly
492;2-Day Shipping;Every 3 Months
493;Free Shipping;Every 3 Months
494;2-Day Shipping;Every 3 Months
495;Express;Bi-Weekly
496;Store Pickup;Bi-Weekly
497;Free Shipping;Every 3 Months
498;2-Day Shipping;Monthly
499;Free Shipping;Weekly
500;Store Pickup;Weekly
501;Standard;Weekly
502;2-Day Shipping;Weekly
503;Free Shipping;Fortnightly
504;Express;Every 3 Months
505;Free Shipping;Quarterly
506;Express;Annually
507;Store Pickup;Quarterly
508;Express;Monthly
509;Store Pickup;Annually
510;Express;Weekly
511;Standard;Every 3 Months
512;Store Pickup;Weekly
513;Next Day Air;Every 3 Months
514;Express;Annually
515;2-Day Shipping;Every 3 Months
516;2-Day Shipping;Weekly
517;Free Shipping;Fortnightly
518;Next Day Air;Weekly
519;Standard;Bi-Weekly
520;Standard;Weekly
521;2-Day Shipping;Fortnightly
522;Standard;Monthly
523;Next Day Air;Every 3 Months
524;2-Day Shipping;Monthly
525;Next Day Air;Fortnightly
526;Standard;Annually
527;Express;Bi-Weekly
528;Standard;Weekly
529;Store Pickup;Annually
530;Next Day Air;Monthly
531;Next Day Air;Every 3 Months
532;Standard;Annually
533;2-Day Shipping;Every 3 Months
534;Standard;Quarterly
535;Standard;Quarterly
536;Store Pickup;Bi-Weekly
537;Express;Every 3 Months
538;Store Pickup;Quarterly
539;Free Shipping;Quarterly
540;Express;Weekly
541;2-Day Shipping;Quarterly
542;Store Pickup;Annually
543;Store Pickup;Quarterly
544;Express;Every 3 Months
545;Next Day Air;Bi-Weekly
546;Next Day Air;Weekly
547;Standard;Annually
548;Express;Weekly
549;2-Day Shipping;Quarterly
550;2-Day Shipping;Annually
551;Free Shipping;Annually
552;Store Pickup;Monthly
553;Standard;Bi-Weekly
554;Next Day Air;Bi-Weekly
555;Express;Quarterly
556;Store Pickup;Bi-Weekly
557;Free Shipping;Weekly
558;2-Day Shipping;Fortnightly
559;Free Shipping;Fortnightly
560;Standard;Monthly
561;Standard;Fortnightly
562;Next Day Air;Annually
563;Store Pickup;Monthly
564;Express;Bi-Weekly
565;Next Day Air;Weekly
566;Next Day Air;Weekly
567;Standard;Annually
568;Free Shipping;Weekly
569;Free Shipping;Bi-Weekly
570;Free Shipping;Weekly
571;Next Day Air;Quarterly
572;Free Shipping;Weekly
573;2-Day Shipping;Fortnightly
574;Standard;Quarterly
575;Express;Quarterly
576;Standard;Annually
577;Store Pickup;Bi-Weekly
578;Express;Weekly
579;2-Day Shipping;Fortnightly
580;Next Day Air;Weekly
581;Standard;Monthly
582;Standard;Annually
583;2-Day Shipping;Weekly
584;2-Day Shipping;Bi-Weekly
585;Next Day Air;Annually
586;Store Pickup;Fortnightly
587;Store Pickup;Fortnightly
588;Store Pickup;Fortnightly
589;Store Pickup;Monthly
590;Standard;Fortnightly
591;Next Day Air;Bi-Weekly
592;Standard;Bi-Weekly
593;Free Shipping;Fortnightly
594;Express;Fortnightly
595;Store Pickup;Bi-Weekly
596;2-Day Shipping;Monthly
597;Express;Quarterly
598;Next Day Air;Fortnightly
599;Store Pickup;Weekly
600;2-Day Shipping;Quarterly
601;Free Shipping;Annually
602;Express;Every 3 Months
603;2-Day Shipping;Annually
604;2-Day Shipping;Bi-Weekly
605;Free Shipping;Quarterly
606;Express;Bi-Weekly
607;Store Pickup;Annually
608;Free Shipping;Every 3 Months
609;Express;Weekly
610;Store Pickup;Fortnightly
611;Express;Annually
612;2-Day Shipping;Fortnightly
613;Store Pickup;Weekly
614;Express;Every 3 Months
615;Express;Fortnightly
616;Express;Bi-Weekly
617;Store Pickup;Annually
618;Standard;Quarterly
619;Next Day Air;Every 3 Months
620;Free Shipping;Annually
621;Express;Every 3 Months
622;Store Pickup;Every 3 Months
623;Free Shipping;Weekly
624;Free Shipping;Weekly
625;Express;Quarterly
626;Store Pickup;Annually
627;Free Shipping;Bi-Weekly
628;Express;Fortnightly
629;Free Shipping;Quarterly
630;Store Pickup;Every 3 Months
631;2-Day Shipping;Annually
632;Express;Annually
633;Store Pickup;Weekly
634;Standard;Monthly
635;Standard;Every 3 Months
636;2-Day Shipping;Bi-Weekly
637;Standard;Annually
638;Next Day Air;Quarterly
639;Express;Annually
640;Next Day Air;Monthly
641;Standard;Weekly
642;2-Day Shipping;Bi-Weekly
643;Free Shipping;Fortnightly
644;Store Pickup;Every 3 Months
645;Free Shipping;Fortnightly
646;2-Day Shipping;Bi-Weekly
647;Express;Bi-Weekly
648;2-Day Shipping;Fortnightly
649;2-Day Shipping;Bi-Weekly
650;Free Shipping;Monthly
651;Store Pickup;Weekly
652;2-Day Shipping;Monthly
653;Store Pickup;Bi-Weekly
654;Free Shipping;Fortnightly
655;Free Shipping;Quarterly
656;Store Pickup;Weekly
657;Store Pickup;Monthly
658;Express;Quarterly
659;Standard;Quarterly
660;2-Day Shipping;Monthly
661;Free Shipping;Quarterly
662;Express;Weekly
663;Store Pickup;Bi-Weekly
664;Next Day Air;Fortnightly
665;Standard;Weekly
666;Standard;Annually
667;Store Pickup;Every 3 Months
668;Standard;Every 3 Months
669;2-Day Shipping;Quarterly
670;Express;Monthly
671;Standard;Weekly
672;Express;Fortnightly
673;Store Pickup;Bi-Weekly
674;Standard;Bi-Weekly
675;Next Day Air;Bi-Weekly
676;Store Pickup;Monthly
677;2-Day Shipping;Annually
678;Store Pickup;Bi-Weekly
679;2-Day Shipping;Bi-Weekly
680;Store Pickup;Quarterly
681;Express;Quarterly
682;2-Day Shipping;Monthly
683;Next Day Air;Bi-Weekly
684;Free Shipping;Annually
685;Express;Quarterly
686;Store Pickup;Monthly
687;Free Shipping;Annually
688;Free Shipping;Annually
689;Express;Quarterly
690;Next Day Air;Fortnightly
691;Free Shipping;Bi-Weekly
692;Free Shipping;Fortnightly
693;Express;Every 3 Months
694;Express;Quarterly
695;Free Shipping;Bi-Weekly
696;Standard;Bi-Weekly
697;Express;Weekly
698;Store Pickup;Weekly
699;Express;Bi-Weekly
700;Free Shipping;Annually
701;2-Day Shipping;Every 3 Months
702;2-Day Shipping;Weekly
703;Express;Fortnightly
704;Free Shipping;Every 3 Months
705;Store Pickup;Bi-Weekly
706;Standard;Weekly
707;Next Day Air;Quarterly
708;Next Day Air;Monthly
709;2-Day Shipping;Fortnightly
710;Free Shipping;Bi-Weekly
711;2-Day Shipping;Quarterly
712;2-Day Shipping;Quarterly
713;Standard;Annually
714;Store Pickup;Weekly
715;Next Day Air;Every 3 Months
716;Express;Monthly
717;Next Day Air;Every 3 Months
718;Store Pickup;Bi-Weekly
719;Free Shipping;Monthly
720;Next Day Air;Weekly
721;Free Shipping;Bi-Weekly
722;2-Day Shipping;Monthly
723;Standard;Quarterly
724;Standard;Monthly
725;Free Shipping;Every 3 Months
726;Store Pickup;Fortnightly
727;Store Pickup;Fortnightly
728;Standard;Fortnightly
729;Store Pickup;Every 3 Months
730;Free Shipping;Fortnightly
731;Next Day Air;Every 3 Months
732;Next Day Air;Annually
733;Standard;Fortnightly
734;2-Day Shipping;Weekly
735;Store Pickup;Annually
736;Free Shipping;Quarterly
737;Free Shipping;Weekly
738;Free Shipping;Monthly
739;Next Day Air;Weekly
740;2-Day Shipping;Every 3 Months
741;2-Day Shipping;Annually
742;2-Day Shipping;Fortnightly
743;2-Day Shipping;Quarterly
744;Express;Every 3 Months
745;Next Day Air;Every 3 Months
746;Next Day Air;Monthly
747;Free Shipping;Annually
748;Store Pickup;Every 3 Months
749;2-Day Shipping;Quarterly
750;Free Shipping;Every 3 Months
751;Standard;Fortnightly
752;Standard;Every 3 Months
753;Express;Quarterly
754;Next Day Air;Every 3 Months
755;Free Shipping;Bi-Weekly
756;Next Day Air;Monthly
757;Next Day Air;Quarterly
758;Store Pickup;Bi-Weekly
759;Next Day Air;Every 3 Months
760;2-Day Shipping;Bi-Weekly
761;Store Pickup;Quarterly
762;Express;Bi-Weekly
763;Store Pickup;Fortnightly
764;Express;Annually
765;Store Pickup;Quarterly
766;Free Shipping;Monthly
767;Free Shipping;Every 3 Months
768;2-Day Shipping;Fortnightly
769;Free Shipping;Annually
770;Standard;Monthly
771;Free Shipping;Every 3 Months
772;Store Pickup;Monthly
773;Express;Bi-Weekly
774;Store Pickup;Every 3 Months
775;Store Pickup;Fortnightly
776;2-Day Shipping;Quarterly
777;Standard;Bi-Weekly
778;Free Shipping;Weekly
779;Express;Monthly
780;2-Day Shipping;Every 3 Months
781;Store Pickup;Every 3 Months
782;Free Shipping;Quarterly
783;Express;Weekly
784;Express;Bi-Weekly
785;Next Day Air;Every 3 Months
786;Next Day Air;Quarterly
787;Free Shipping;Weekly
788;2-Day Shipping;Quarterly
789;Next Day Air;Monthly
790;Standard;Monthly
791;Next Day Air;Annually
792;Next Day Air;Weekly
793;Next Day Air;Fortnightly
794;Free Shipping;Every 3 Months
795;2-Day Shipping;Bi-Weekly
796;Store Pickup;Annually
797;Standard;Every 3 Months
798;Next Day Air;Every 3 Months
799;Standard;Bi-Weekly
800;Free Shipping;Bi-Weekly
801;Standard;Quarterly
802;2-Day Shipping;Every 3 Months
803;2-Day Shipping;Quarterly
804;Store Pickup;Fortnightly
805;2-Day Shipping;Monthly
806;Free Shipping;Quarterly
807;Free Shipping;Weekly
808;2-Day Shipping;Fortnightly
809;Next Day Air;Monthly
810;Express;Annually
811;Free Shipping;Monthly
812;Express;Monthly
813;2-Day Shipping;Annually
814;Free Shipping;Weekly
815;Standard;Annually
816;Free Shipping;Quarterly
817;Next Day Air;Annually
818;Next Day Air;Annually
819;Standard;Monthly
820;2-Day Shipping;Bi-Weekly
821;Standard;Monthly
822;Standard;Every 3 Months
823;Store Pickup;Monthly
824;Express;Fortnightly
825;Express;Annually
826;Next Day Air;Quarterly
827;Next Day Air;Annually
828;2-Day Shipping;Every 3 Months
829;Store Pickup;Bi-Weekly
830;Express;Annually
831;Store Pickup;Every 3 Months
832;Free Shipping;Every 3 Months
833;Next Day Air;Fortnightly
834;Free Shipping;Every 3 Months
835;Standard;Every 3 Months
836;2-Day Shipping;Bi-Weekly
837;Express;Monthly
838;Express;Annually
839;Store Pickup;Quarterly
840;2-Day Shipping;Fortnightly
841;Next Day Air;Fortnightly
842;Express;Monthly
843;Next Day Air;Weekly
844;Express;Quarterly
845;2-Day Shipping;Annually
846;Next Day Air;Monthly
847;Free Shipping;Monthly
848;Standard;Monthly
849;Next Day Air;Every 3 Months
850;Next Day Air;Fortnightly
851;Next Day Air;Every 3 Months
852;Free Shipping;Annually
853;2-Day Shipping;Annually
854;Next Day Air;Fortnightly
855;Next Day Air;Annually
856;Next Day Air;Every 3 Months
857;Store Pickup;Every 3 Months
858;Next Day Air;Annually
859;Standard;Quarterly
860;Next Day Air;Fortnightly
861;2-Day Shipping;Weekly
862;2-Day Shipping;Fortnightly
863;Next Day Air;Quarterly
864;2-Day Shipping;Bi-Weekly
865;2-Day Shipping;Quarterly
866;Next Day Air;Fortnightly
867;Free Shipping;Quarterly
868;Store Pickup;Every 3 Months
869;Store Pickup;Weekly
870;Standard;Monthly
871;Store Pickup;Fortnightly
872;Free Shipping;Bi-Weekly
873;Next Day Air;Every 3 Months
874;Express;Bi-Weekly
875;Express;Weekly
876;Express;Monthly
877;Store Pickup;Quarterly
878;Standard;Bi-Weekly
879;Standard;Annually
880;Next Day Air;Monthly
881;Express;Weekly
882;Store Pickup;Fortnightly
883;2-Day Shipping;Annually
884;Next Day Air;Quarterly
885;Express;Weekly
886;Express;Annually
887;2-Day Shipping;Bi-Weekly
888;Store Pickup;Quarterly
889;2-Day Shipping;Weekly
890;Express;Bi-Weekly
891;2-Day Shipping;Fortnightly
892;2-Day Shipping;Quarterly
893;2-Day Shipping;Quarterly
894;Express;Quarterly
895;Store Pickup;Every 3 Months
896;Store Pickup;Monthly
897;Standard;Bi-Weekly
898;Express;Bi-Weekly
899;Standard;Annually
900;Express;Weekly
901;Express;Every 3 Months
902;Standard;Quarterly
903;Standard;Quarterly
904;Next Day Air;Monthly
905;2-Day Shipping;Monthly
906;Store Pickup;Monthly
907;Free Shipping;Annually
908;Free Shipping;Every 3 Months
909;Standard;Annually
910;Standard;Every 3 Months
911;Free Shipping;Quarterly
912;Free Shipping;Weekly
913;Standard;Every 3 Months
914;Express;Monthly
915;Free Shipping;Monthly
916;Free Shipping;Every 3 Months
917;Free Shipping;Bi-Weekly
918;Standard;Weekly
919;Store Pickup;Fortnightly
920;Standard;Annually
921;Free Shipping;Bi-Weekly
922;Express;Quarterly
923;Store Pickup;Bi-Weekly
924;Standard;Quarterly
925;Store Pickup;Weekly
926;Express;Bi-Weekly
927;Next Day Air;Annually
928;Standard;Every 3 Months
929;2-Day Shipping;Annually
930;Free Shipping;Monthly
931;Next Day Air;Bi-Weekly
932;Free Shipping;Monthly
933;Next Day Air;Quarterly
934;2-Day Shipping;Monthly
935;Express;Monthly
936;Standard;Bi-Weekly
937;Free Shipping;Quarterly
938;Free Shipping;Every 3 Months
939;Standard;Annually
940;Standard;Monthly
941;Standard;Quarterly
942;Next Day Air;Fortnightly
943;Free Shipping;Monthly
944;Standard;Monthly
945;Next Day Air;Fortnightly
946;Free Shipping;Every 3 Months
947;Free Shipping;Annually
948;Store Pickup;Quarterly
949;Standard;Annually
950;Store Pickup;Fortnightly
951;Free Shipping;Quarterly
952;Standard;Weekly
953;2-Day Shipping;Fortnightly
954;Store Pickup;Fortnightly
955;2-Day Shipping;Annually
956;Express;Annually
957;Standard;Annually
958;Free Shipping;Every 3 Months
959;Express;Fortnightly
960;Free Shipping;Annually
961;Next Day Air;Monthly
962;Free Shipping;Quarterly
963;Next Day Air;Bi-Weekly
964;Next Day Air;Bi-Weekly
965;Free Shipping;Bi-Weekly
966;2-Day Shipping;Monthly
967;Store Pickup;Quarterly
968;Next Day Air;Fortnightly
969;Free Shipping;Weekly
