Transaction_ID;Purchase_Amount__USD_;Payment_Method;Review_Rating;Location ID
492; $48.00 ;PayPal;4.2;492
493; $21.00 ;Venmo;2.8;493
494; $44.00 ;Cash;4.2;494
495; $32.00 ;Credit Card;3;495
496; $57.00 ;Debit Card;3.5;496
497; $48.00 ;Cash;4.3;497
498; $85.00 ;Venmo;3.7;498
499; $25.00 ;Venmo;3.6;499
500; $90.00 ;Cash;4.4;500
501; $81.00 ;Venmo;2.7;501
502; $22.00 ;Bank Transfer;3.6;502
503; $83.00 ;Venmo;3.7;503
504; $63.00 ;Debit Card;4.3;504
505; $73.00 ;Debit Card;3.8;505
506; $57.00 ;Bank Transfer;4.8;506
507; $46.00 ;Credit Card;2.8;507
508; $51.00 ;Venmo;2.9;508
509; $65.00 ;PayPal;3.6;509
510; $91.00 ;PayPal;3.4;510
511; $38.00 ;Credit Card;3.3;511
512; $80.00 ;Venmo;3.6;512
513; $54.00 ;Cash;3.6;513
514; $85.00 ;Debit Card;4.9;514
515; $79.00 ;Cash;4.7;515
516; $59.00 ;Cash;3.5;516
517; $76.00 ;Credit Card;3;517
518; $44.00 ;Credit Card;4.3;518
519; $32.00 ;PayPal;4.6;519
520; $80.00 ;Debit Card;3.8;520
521; $42.00 ;Cash;4.3;521
522; $28.00 ;Venmo;3.4;522
523; $25.00 ;Debit Card;3.5;523
524; $29.00 ;Debit Card;3.7;524
525; $69.00 ;Bank Transfer;2.8;525
526; $32.00 ;Cash;3.5;526
527; $30.00 ;Venmo;4.9;527
528; $89.00 ;PayPal;3;528
529; $87.00 ;Debit Card;4;529
530; $87.00 ;Debit Card;3.1;530
531; $60.00 ;Venmo;4.2;531
532; $59.00 ;Cash;3.4;532
533; $61.00 ;Venmo;4.4;533
534; $57.00 ;Debit Card;2.6;534
535; $35.00 ;Credit Card;3.9;535
536; $90.00 ;PayPal;3.9;536
537; $80.00 ;Debit Card;3.9;537
538; $43.00 ;Venmo;4.6;538
539; $70.00 ;Debit Card;4.1;539
540; $24.00 ;Venmo;4.1;540
541; $59.00 ;Bank Transfer;3.6;541
542; $91.00 ;Venmo;4.2;542
543; $25.00 ;Venmo;2.6;543
544; $28.00 ;Venmo;4.6;544
545; $51.00 ;Venmo;3.8;545
546; $66.00 ;Bank Transfer;2.9;546
547; $96.00 ;Bank Transfer;3.2;547
548; $58.00 ;PayPal;3.4;548
549; $94.00 ;Debit Card;4.1;549
550; $59.00 ;Bank Transfer;4.4;550
551; $92.00 ;Cash;2.7;551
552; $78.00 ;Bank Transfer;5;552
553; $61.00 ;Debit Card;3;553
554; $69.00 ;Venmo;3.8;554
555; $68.00 ;PayPal;4;555
556; $76.00 ;Bank Transfer;4.6;556
557; $26.00 ;PayPal;3.1;557
558; $31.00 ;Debit Card;4.6;558
559; $34.00 ;Venmo;4.8;559
560; $53.00 ;Cash;3;560
561; $88.00 ;Venmo;4.9;561
562; $53.00 ;Debit Card;3.8;562
563; $67.00 ;Debit Card;2.5;563
564; $93.00 ;Venmo;2.7;564
565; $74.00 ;Bank Transfer;4.2;565
566; $56.00 ;Cash;2.8;566
567; $63.00 ;Venmo;4.4;567
568; $21.00 ;Bank Transfer;2.7;568
569; $25.00 ;Bank Transfer;4.2;569
570; $42.00 ;Bank Transfer;4;570
571; $57.00 ;Debit Card;3.5;571
572; $92.00 ;Venmo;2.9;572
573; $35.00 ;PayPal;2.9;573
574; $53.00 ;Debit Card;2.9;574
575; $53.00 ;PayPal;4.5;575
576; $57.00 ;Credit Card;2.9;576
577; $96.00 ;Credit Card;4;577
578; $91.00 ;Venmo;4.1;578
579; $34.00 ;Credit Card;3.4;579
580; $85.00 ;Debit Card;3.4;580
581; $79.00 ;Venmo;4.1;581
582; $38.00 ;Credit Card;2.9;582
583; $82.00 ;Bank Transfer;4.1;583
584; $91.00 ;Cash;4;584
585; $77.00 ;Cash;2.5;585
586; $32.00 ;Bank Transfer;4.5;586
587; $89.00 ;Debit Card;3.5;587
588; $95.00 ;Bank Transfer;4.1;588
589; $64.00 ;Credit Card;4.1;589
590; $76.00 ;Cash;4.4;590
591; $94.00 ;Bank Transfer;4.2;591
592; $35.00 ;PayPal;3.8;592
593; $59.00 ;Bank Transfer;2.7;593
594; $36.00 ;Debit Card;4.6;594
595; $29.00 ;Credit Card;3;595
596; $88.00 ;PayPal;3.7;596
597; $20.00 ;PayPal;4.4;597
598; $71.00 ;Debit Card;3.3;598
599; $69.00 ;PayPal;3;599
600; $50.00 ;Credit Card;3.6;600
601; $90.00 ;Credit Card;4.2;601
602; $20.00 ;PayPal;4.7;602
603; $100.00 ;Cash;2.9;603
604; $79.00 ;Bank Transfer;2.5;604
605; $75.00 ;Debit Card;2.6;605
606; $50.00 ;PayPal;4;606
607; $42.00 ;Cash;3.3;607
608; $32.00 ;Venmo;3.6;608
609; $93.00 ;PayPal;2.6;609
610; $53.00 ;Bank Transfer;3.2;610
611; $30.00 ;Bank Transfer;3.1;611
612; $30.00 ;Bank Transfer;4.6;612
613; $64.00 ;Bank Transfer;3.9;613
614; $69.00 ;Venmo;3.1;614
615; $98.00 ;PayPal;2.7;615
616; $42.00 ;Cash;4;616
617; $76.00 ;PayPal;3.6;617
618; $22.00 ;Credit Card;2.6;618
619; $36.00 ;Bank Transfer;2.6;619
620; $34.00 ;PayPal;3.8;620
621; $29.00 ;PayPal;3.7;621
622; $77.00 ;Debit Card;2.7;622
623; $89.00 ;Credit Card;4.5;623
624; $84.00 ;PayPal;4.9;624
625; $93.00 ;Bank Transfer;3.1;625
626; $65.00 ;Cash;4.9;626
627; $89.00 ;Venmo;3.9;627
628; $39.00 ;Bank Transfer;3.9;628
629; $28.00 ;PayPal;4.7;629
630; $68.00 ;Bank Transfer;4.7;630
631; $34.00 ;PayPal;3.1;631
632; $25.00 ;Venmo;4.2;632
633; $37.00 ;Debit Card;4.9;633
634; $37.00 ;PayPal;4.5;634
635; $83.00 ;Bank Transfer;2.9;635
636; $69.00 ;Debit Card;4.2;636
637; $67.00 ;Credit Card;3.9;637
638; $60.00 ;Venmo;4.2;638
639; $61.00 ;Cash;4.5;639
640; $54.00 ;Credit Card;3;640
641; $88.00 ;Cash;4.2;641
642; $21.00 ;Venmo;4.4;642
643; $58.00 ;PayPal;3.1;643
644; $42.00 ;Debit Card;3.4;644
645; $77.00 ;Credit Card;3.8;645
646; $33.00 ;Venmo;3.1;646
647; $93.00 ;Bank Transfer;3;647
648; $56.00 ;PayPal;5;648
649; $90.00 ;Cash;3.1;649
650; $99.00 ;Debit Card;4.6;650
651; $45.00 ;Cash;2.9;651
652; $50.00 ;Debit Card;2.9;652
653; $98.00 ;Bank Transfer;4.2;653
654; $66.00 ;Cash;3.2;654
655; $72.00 ;Venmo;2.7;655
656; $43.00 ;Debit Card;3.6;656
657; $76.00 ;Venmo;4.6;657
658; $68.00 ;Debit Card;3.8;658
659; $28.00 ;Cash;3.7;659
660; $39.00 ;Debit Card;3;660
661; $97.00 ;Debit Card;2.7;661
662; $56.00 ;Debit Card;2.7;662
663; $42.00 ;Credit Card;3.5;663
664; $51.00 ;Venmo;3.9;664
665; $88.00 ;Cash;3.8;665
666; $22.00 ;Bank Transfer;3.3;666
667; $94.00 ;Venmo;4.6;667
668; $90.00 ;Credit Card;4.9;668
669; $75.00 ;Venmo;3.5;669
670; $55.00 ;Debit Card;4.6;670
671; $72.00 ;PayPal;4.2;671
672; $56.00 ;Debit Card;4.1;672
673; $26.00 ;Bank Transfer;3;673
674; $84.00 ;Venmo;2.7;674
675; $77.00 ;PayPal;3.3;675
676; $26.00 ;Bank Transfer;2.9;676
677; $81.00 ;Bank Transfer;3.4;677
678; $51.00 ;Credit Card;2.6;678
